datetime,open,high,low,close,volume
2025-05-06T00:00:00+08:00,6.89,7.28,6.89,7.28,4000
2025-05-08T00:00:00+08:00,7.37,7.37,7.37,7.37,2000
2025-05-26T00:00:00+08:00,7.46,7.46,7.46,7.46,3000
2025-05-28T00:00:00+08:00,7.4,7.4,7.4,7.4,5000
2025-07-04T00:00:00+08:00,7.65,7.65,7.65,7.65,1000
2025-07-11T00:00:00+08:00,7.76,7.76,7.76,7.76,2000
2025-07-22T00:00:00+08:00,7.91,7.91,7.91,7.91,1000
2025-07-30T00:00:00+08:00,8.11,8.11,8.11,8.11,2000
2025-08-13T00:00:00+08:00,8.04,8.04,8.04,8.04,2000
2025-08-25T00:00:00+08:00,8.63,8.63,8.63,8.63,1000
2025-08-29T00:00:00+08:00,8.6,8.64,8.6,8.62,3000
2025-09-03T00:00:00+08:00,8.72,8.72,8.62,8.62,3000
2025-09-04T00:00:00+08:00,8.49,8.49,8.39,8.39,2000
2025-09-05T00:00:00+08:00,8.44,8.44,8.44,8.44,1000
2025-09-08T00:00:00+08:00,8.59,8.59,8.59,8.59,1000
2025-09-09T00:00:00+08:00,8.58,8.58,8.58,8.58,1000
2025-09-10T00:00:00+08:00,8.56,8.56,8.56,8.56,1000
2025-09-12T00:00:00+08:00,8.76,8.76,8.76,8.76,1000
2025-09-15T00:00:00+08:00,8.76,8.76,8.76,8.76,1000
2025-09-17T00:00:00+08:00,8.7,8.7,8.7,8.7,1000
2025-09-18T00:00:00+08:00,8.76,8.76,8.76,8.76,1000
2025-09-19T00:00:00+08:00,8.57,8.57,8.57,8.57,1000
2025-09-25T00:00:00+08:00,8.74,8.74,8.74,8.74,1000
2025-09-30T00:00:00+08:00,8.82,8.82,8.82,8.82,1000
2025-10-13T00:00:00+08:00,8.82,8.97,8.82,8.97,9000
2025-10-14T00:00:00+08:00,8.87,8.87,8.87,8.87,1000
