datetime,open,high,low,close,volume
2025-05-02T00:00:00+08:00,36.48,36.93,36.45,36.5,2047550
2025-05-05T00:00:00+08:00,36.5,36.65,35.39,35.4,5442179
2025-05-06T00:00:00+08:00,35.33,35.76,35.16,35.42,8268602
2025-05-07T00:00:00+08:00,36.02,36.78,36.02,36.24,7554182
2025-05-08T00:00:00+08:00,36.24,37.3,36.13,36.89,6044437
2025-05-09T00:00:00+08:00,37.0,37.25,36.82,37.25,7116372
2025-05-12T00:00:00+08:00,37.59,38.01,37.37,37.59,7161206
2025-05-13T00:00:00+08:00,38.4,38.48,37.86,38.04,6254278
2025-05-14T00:00:00+08:00,38.2,39.22,38.09,39.2,6766281
2025-05-15T00:00:00+08:00,39.39,39.4,39.05,39.05,4057139
2025-05-16T00:00:00+08:00,38.94,38.94,37.98,38.26,7696190
2025-05-19T00:00:00+08:00,38.39,38.41,37.83,37.84,3346972
2025-05-20T00:00:00+08:00,38.14,38.68,38.04,38.51,3819017
2025-05-21T00:00:00+08:00,38.55,39.24,38.4,39.17,4628206
2025-05-22T00:00:00+08:00,38.91,39.01,38.48,38.84,3048455
2025-05-23T00:00:00+08:00,38.83,39.16,38.66,38.85,1359910
2025-05-26T00:00:00+08:00,38.48,38.48,37.1,37.18,9761341
2025-05-27T00:00:00+08:00,37.38,37.56,36.89,36.96,3021817
2025-05-28T00:00:00+08:00,37.06,37.18,36.92,37.15,2398008
2025-05-29T00:00:00+08:00,37.03,37.31,36.71,37.05,5768199
2025-06-02T00:00:00+08:00,36.51,36.53,35.49,35.89,12572331
2025-06-03T00:00:00+08:00,36.3,37.2,36.3,36.87,7236685
2025-06-04T00:00:00+08:00,36.91,37.29,36.89,36.97,2166822
2025-06-05T00:00:00+08:00,37.16,37.17,36.71,36.95,2937595
2025-06-06T00:00:00+08:00,37.29,37.5,36.97,37.02,3613261
2025-06-09T00:00:00+08:00,37.2,37.31,36.76,36.89,3260782
