datetime,open,high,low,close,volume,foreign_net_buy_x,invest_trust_net_buy_x,dealer_net_buy_x,foreign_net_buy_y,invest_trust_net_buy_y,dealer_net_buy_y
2025-05-02T00:00:00+08:00,6.95,6.95,6.95,6.95,200,,,,,,
2025-05-05T00:00:00+08:00,6.96,6.96,6.96,6.96,200,,,,,,
2025-05-06T00:00:00+08:00,7.13,7.13,7.13,7.13,200,,,,,,
2025-05-07T00:00:00+08:00,7.15,7.15,7.15,7.15,200,,,,,,
2025-05-08T00:00:00+08:00,7.2,7.2,7.2,7.2,200,,,,,,
2025-05-09T00:00:00+08:00,7.25,7.25,7.25,7.25,200,,,,,,
2025-05-12T00:00:00+08:00,7.25,7.25,7.25,7.25,200,,,,,,
2025-05-13T00:00:00+08:00,7.3,7.3,7.3,7.3,200,,,,,,
2025-05-14T00:00:00+08:00,7.35,7.35,7.35,7.35,200,,,,,,
2025-05-15T00:00:00+08:00,7.4,7.4,7.4,7.4,200,,,,,,
2025-05-16T00:00:00+08:00,7.35,7.35,7.35,7.35,200,,,,,,
2025-05-19T00:00:00+08:00,7.3,7.3,7.3,7.3,200,,,,,,
2025-05-20T00:00:00+08:00,7.35,7.35,7.35,7.35,200,,,,,,
2025-05-21T00:00:00+08:00,7.4,7.4,7.4,7.4,200,,,,,,
2025-05-22T00:00:00+08:00,7.45,7.45,7.45,7.45,200,,,,,,
2025-05-23T00:00:00+08:00,7.44,7.44,7.44,7.44,200,,,,,,
2025-05-26T00:00:00+08:00,7.32,7.32,7.32,7.32,200,,,,,,
2025-05-27T00:00:00+08:00,7.47,7.47,7.23,7.23,300,,,,,,
2025-05-28T00:00:00+08:00,7.24,7.24,7.24,7.24,200,,,,,,
2025-05-29T00:00:00+08:00,7.23,7.23,7.23,7.23,200,,,,,,
2025-06-02T00:00:00+08:00,7.19,7.19,7.19,7.19,200,,,,,,
2025-06-03T00:00:00+08:00,7.24,7.24,7.24,7.24,200,,,,,,
2025-06-04T00:00:00+08:00,7.25,7.25,7.25,7.25,200,,,,,,
2025-06-05T00:00:00+08:00,7.27,7.27,7.27,7.27,200,,,,,,
2025-06-06T00:00:00+08:00,7.25,7.25,7.25,7.25,200,,,,,,
2025-06-09T00:00:00+08:00,7.23,7.23,7.23,7.23,200,,,,,,
2025-06-10T00:00:00+08:00,7.25,7.25,7.25,7.25,200,,,,,,
2025-06-11T00:00:00+08:00,7.27,7.27,7.27,7.27,200,,,,,,
2025-06-12T00:00:00+08:00,7.28,7.28,7.28,7.28,200,,,,,,
2025-06-13T00:00:00+08:00,7.23,7.23,7.23,7.23,200,,,,,,
2025-06-16T00:00:00+08:00,7.2,7.2,7.2,7.2,200,,,,,,
2025-06-17T00:00:00+08:00,7.23,7.23,7.23,7.23,200,,,,,,
2025-06-18T00:00:00+08:00,7.22,7.22,7.22,7.22,200,,,,,,
2025-06-19T00:00:00+08:00,7.19,7.19,7.19,7.19,200,,,,,,
2025-06-20T00:00:00+08:00,7.25,7.25,7.25,7.25,200,,,,,,
2025-06-23T00:00:00+08:00,7.22,7.22,7.22,7.22,200,,,,,,
2025-06-24T00:00:00+08:00,7.33,7.33,7.33,7.33,200,,,,,,
2025-06-25T00:00:00+08:00,7.37,7.37,7.37,7.37,200,,,,,,
2025-06-26T00:00:00+08:00,7.35,7.35,7.35,7.35,200,,,,,,
2025-06-27T00:00:00+08:00,7.29,7.29,7.29,7.29,200,,,,,,
