datetime,open,high,low,close,volume,foreign_net_buy_x,invest_trust_net_buy_x,dealer_net_buy_x,foreign_net_buy_y,invest_trust_net_buy_y,dealer_net_buy_y,foreign_net_buy,invest_trust_net_buy,dealer_net_buy
2025-05-02T00:00:00+08:00,2.8,2.8,2.8,2.8,1000,,,,,,,,,
2025-05-05T00:00:00+08:00,2.76,2.76,2.76,2.76,8000,,,,,,,,,
2025-05-06T00:00:00+08:00,2.72,2.74,2.72,2.74,3000,,,,,,,,,
2025-08-01T00:00:00+08:00,3.22,3.22,3.19,3.19,7000,,,,,,,,,
2025-08-07T00:00:00+08:00,3.19,3.19,3.19,3.19,1000,,,,,,,,,
2025-08-13T00:00:00+08:00,3.26,3.26,3.26,3.26,2000,,,,,,,,,
2025-08-25T00:00:00+08:00,3.46,3.51,3.4,3.51,7000,,,,,,,,,
2025-09-12T00:00:00+08:00,3.64,3.64,3.64,3.64,1000,,,,,,,,,
2025-09-25T00:00:00+08:00,3.83,3.83,3.83,3.83,1000,,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-27T00:00:00+08:00,3.8,3.8,3.8,3.8,1000,,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-31T00:00:00+08:00,3.8,3.8,3.8,3.8,1000,,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-20T00:00:00+08:00,3.66,3.66,3.66,3.66,1000,,,,,,,,,
2025-11-21T00:00:00+08:00,3.55,3.55,3.55,3.55,1000,,,,,,,,,
2025-11-26T00:00:00+08:00,3.62,3.62,3.62,3.62,2000,,,,,,,,,
2025-11-27T00:00:00+08:00,3.67,3.67,3.67,3.67,1000,,,,,,,,,
