datetime,open,high,low,close,volume,foreign_net_buy,invest_trust_net_buy,dealer_net_buy
2025-05-02T00:00:00+08:00,13.95,13.95,13.95,13.95,200,,,
2025-05-05T00:00:00+08:00,14.65,14.65,14.65,14.65,200,,,
2025-05-06T00:00:00+08:00,14.6,14.6,14.6,14.6,200,,,
2025-05-07T00:00:00+08:00,14.5,14.5,14.5,14.5,200,,,
2025-05-08T00:00:00+08:00,14.4,14.4,14.4,14.4,200,,,
2025-05-09T00:00:00+08:00,14.65,14.65,14.65,14.65,200,,,
2025-05-12T00:00:00+08:00,14.68,14.68,14.68,14.68,200,,,
2025-05-13T00:00:00+08:00,14.9,14.9,14.9,14.9,200,,,
2025-05-14T00:00:00+08:00,14.75,14.75,14.75,14.75,200,,,
2025-05-15T00:00:00+08:00,14.78,14.78,14.78,14.78,200,,,
2025-05-16T00:00:00+08:00,14.8,14.8,14.8,14.8,200,,,
2025-05-19T00:00:00+08:00,14.76,14.76,14.76,14.76,200,,,
2025-05-20T00:00:00+08:00,14.78,14.78,14.78,14.78,200,,,
2025-05-21T00:00:00+08:00,14.7,14.7,14.7,14.7,200,,,
2025-05-22T00:00:00+08:00,14.62,14.62,14.62,14.62,200,,,
2025-05-23T00:00:00+08:00,14.7,14.7,14.7,14.7,200,,,
2025-05-26T00:00:00+08:00,14.8,14.8,14.8,14.8,200,,,
2025-05-27T00:00:00+08:00,14.87,14.87,14.87,14.87,200,,,
2025-05-28T00:00:00+08:00,14.95,14.95,14.95,14.95,200,,,
2025-05-29T00:00:00+08:00,15.11,15.11,15.11,15.11,200,,,
2025-06-02T00:00:00+08:00,14.97,14.97,14.77,14.77,300,,,
2025-06-03T00:00:00+08:00,14.83,14.83,14.83,14.83,200,,,
2025-06-04T00:00:00+08:00,14.93,14.93,14.93,14.93,200,,,
2025-06-05T00:00:00+08:00,14.88,14.88,14.88,14.88,200,,,
2025-06-06T00:00:00+08:00,14.94,14.94,14.94,14.94,200,,,
2025-06-09T00:00:00+08:00,15.05,15.05,15.05,15.05,200,,,
2025-06-10T00:00:00+08:00,15.21,15.21,15.21,15.21,200,,,
2025-06-11T00:00:00+08:00,15.2,15.2,15.2,15.2,200,,,
2025-06-12T00:00:00+08:00,15.17,15.17,15.17,15.17,200,,,
2025-06-13T00:00:00+08:00,15.06,15.06,15.06,15.06,200,,,
2025-06-16T00:00:00+08:00,15.25,15.25,15.25,15.25,200,,,
2025-06-17T00:00:00+08:00,15.4,15.4,15.4,15.4,200,,,
2025-06-18T00:00:00+08:00,15.49,15.49,15.49,15.49,200,,,
2025-06-19T00:00:00+08:00,15.35,15.35,15.35,15.35,200,,,
2025-06-20T00:00:00+08:00,15.37,15.37,15.37,15.37,200,,,
2025-06-23T00:00:00+08:00,15.23,15.23,15.16,15.16,300,,,
2025-06-24T00:00:00+08:00,15.42,15.42,15.42,15.42,200,,,
2025-06-25T00:00:00+08:00,15.5,15.5,15.5,15.5,200,,,
2025-06-26T00:00:00+08:00,15.9,15.9,15.9,15.9,200,,,
2025-06-27T00:00:00+08:00,16.29,16.29,16.29,16.29,200,,,
2025-06-30T00:00:00+08:00,16.5,16.5,16.5,16.5,200,,,
2025-07-01T00:00:00+08:00,16.35,16.35,16.2,16.2,300,,,
2025-07-02T00:00:00+08:00,16.11,16.11,16.11,16.11,300,,,
2025-07-03T00:00:00+08:00,16.18,16.18,16.18,16.18,200,,,
2025-07-04T00:00:00+08:00,16.23,16.23,16.23,16.23,200,,,
2025-07-07T00:00:00+08:00,16.06,16.06,16.06,16.06,200,,,
2025-07-08T00:00:00+08:00,16.05,16.05,16.05,16.05,200,,,
2025-07-09T00:00:00+08:00,16.05,16.05,16.05,16.05,200,,,
2025-07-10T00:00:00+08:00,15.92,15.92,15.92,15.92,200,,,
2025-07-11T00:00:00+08:00,15.93,15.93,15.93,15.93,200,,,
2025-07-14T00:00:00+08:00,15.84,15.84,15.84,15.84,200,,,
2025-07-15T00:00:00+08:00,15.81,15.81,15.81,15.81,200,,,
2025-07-16T00:00:00+08:00,15.88,15.88,15.88,15.88,200,,,
2025-07-17T00:00:00+08:00,15.81,15.81,15.81,15.81,200,,,
2025-07-18T00:00:00+08:00,15.89,15.89,15.89,15.89,200,,,
2025-07-21T00:00:00+08:00,15.89,15.89,15.89,15.89,200,,,
2025-07-22T00:00:00+08:00,15.93,15.93,15.93,15.93,200,,,
2025-07-23T00:00:00+08:00,16.45,16.45,16.45,16.45,200,,,
2025-07-24T00:00:00+08:00,16.83,16.83,16.83,16.83,200,,,
2025-07-25T00:00:00+08:00,16.62,16.62,16.62,16.62,200,,,
2025-07-28T00:00:00+08:00,16.45,16.45,16.45,16.45,200,,,
2025-07-29T00:00:00+08:00,16.13,16.13,16.13,16.13,200,,,
2025-07-30T00:00:00+08:00,16.1,16.1,16.1,16.1,200,,,
2025-07-31T00:00:00+08:00,16.13,16.13,16.13,16.13,200,,,
2025-08-01T00:00:00+08:00,16.04,16.04,16.04,16.04,200,,,
2025-08-04T00:00:00+08:00,15.78,15.78,15.78,15.78,200,,,
2025-08-05T00:00:00+08:00,15.95,15.95,15.95,15.95,200,,,
2025-08-06T00:00:00+08:00,16.02,16.02,16.02,16.02,200,,,
2025-08-07T00:00:00+08:00,16.23,16.23,16.23,16.23,200,,,
2025-08-08T00:00:00+08:00,16.5,16.5,16.5,16.5,200,,,
2025-08-11T00:00:00+08:00,16.48,16.48,16.48,16.48,200,,,
2025-08-12T00:00:00+08:00,16.82,16.82,16.82,16.82,200,,,
2025-08-13T00:00:00+08:00,17.0,17.0,17.0,17.0,200,,,
2025-08-14T00:00:00+08:00,16.84,16.84,16.84,16.84,200,,,
2025-08-15T00:00:00+08:00,16.89,16.89,16.89,16.89,200,,,
2025-08-18T00:00:00+08:00,17.18,17.18,17.18,17.18,200,,,
2025-08-19T00:00:00+08:00,17.12,17.12,17.12,17.12,200,,,
2025-08-20T00:00:00+08:00,16.72,16.72,16.72,16.72,200,,,
2025-08-21T00:00:00+08:00,16.54,16.54,16.54,16.54,200,,,
2025-08-22T00:00:00+08:00,16.48,16.48,16.48,16.48,200,,,
2025-08-25T00:00:00+08:00,16.64,16.64,16.64,16.64,200,,,
2025-08-26T00:00:00+08:00,16.43,16.43,16.43,16.43,200,,,
2025-08-27T00:00:00+08:00,16.45,16.45,16.45,16.45,200,,,
2025-08-28T00:00:00+08:00,16.52,16.52,16.52,16.52,200,,,
2025-08-29T00:00:00+08:00,16.57,16.57,16.57,16.57,200,,,
2025-09-01T00:00:00+08:00,16.2,16.2,16.2,16.2,200,,,
2025-09-02T00:00:00+08:00,16.33,16.33,16.33,16.33,200,,,
2025-09-03T00:00:00+08:00,16.25,16.25,16.25,16.25,200,,,
2025-09-04T00:00:00+08:00,16.37,16.37,16.37,16.37,200,,,
2025-09-05T00:00:00+08:00,16.62,16.62,16.62,16.62,200,,,
2025-09-08T00:00:00+08:00,16.91,16.91,16.91,16.91,200,,,
2025-09-09T00:00:00+08:00,17.01,17.01,17.01,17.01,200,,,
2025-09-10T00:00:00+08:00,17.11,17.11,17.11,17.11,200,,,
2025-09-11T00:00:00+08:00,17.26,17.26,17.26,17.26,200,,,
2025-09-12T00:00:00+08:00,17.4,17.4,17.4,17.4,200,,,
2025-09-15T00:00:00+08:00,17.4,17.4,17.4,17.4,200,,,
