datetime,open,high,low,close,volume,foreign_net_buy_x,invest_trust_net_buy_x,dealer_net_buy_x,foreign_net_buy_y,invest_trust_net_buy_y,dealer_net_buy_y,foreign_net_buy,invest_trust_net_buy,dealer_net_buy
2025-05-02T00:00:00+08:00,9.41,9.66,9.37,9.59,40496904,,,,,,,,,
2025-05-05T00:00:00+08:00,9.62,9.62,9.15,9.15,27416530,,,,,,,,,
2025-05-06T00:00:00+08:00,9.32,9.38,9.14,9.37,35984324,,,,,,,,,
2025-05-07T00:00:00+08:00,9.6,9.89,9.41,9.47,54805370,,,,,,,,,
2025-05-08T00:00:00+08:00,9.34,9.63,9.28,9.5,37319128,,,,,,,,,
2025-05-09T00:00:00+08:00,9.53,9.54,9.32,9.37,27501199,,,,,,,,,
2025-05-12T00:00:00+08:00,9.57,9.81,9.54,9.66,44524679,,,,,,,,,
2025-05-13T00:00:00+08:00,9.99,10.0,9.68,9.7,47650624,,,,,,,,,
2025-05-14T00:00:00+08:00,9.81,9.98,9.76,9.96,47675001,,,,,,,,,
2025-05-15T00:00:00+08:00,10.04,10.08,9.88,9.89,32544583,,,,,,,,,
2025-05-16T00:00:00+08:00,9.8,9.8,9.64,9.75,38028927,,,,,,,,,
2025-05-19T00:00:00+08:00,9.73,9.73,9.51,9.71,29342481,,,,,,,,,
2025-05-20T00:00:00+08:00,9.8,10.02,9.76,10.0,37407681,,,,,,,,,
2025-05-21T00:00:00+08:00,10.03,10.25,10.01,10.25,36729731,,,,,,,,,
2025-05-22T00:00:00+08:00,10.09,10.12,9.93,9.96,30565030,,,,,,,,,
2025-05-23T00:00:00+08:00,9.92,10.11,9.88,10.08,26162343,,,,,,,,,
2025-05-26T00:00:00+08:00,10.01,10.02,9.59,9.59,53929881,,,,,,,,,
2025-05-27T00:00:00+08:00,9.6,9.68,9.46,9.5,36624038,,,,,,,,,
2025-05-28T00:00:00+08:00,9.63,9.74,9.54,9.59,24705991,,,,,,,,,
2025-05-29T00:00:00+08:00,9.61,9.86,9.55,9.84,27482570,,,,,,,,,
2025-06-02T00:00:00+08:00,9.5,9.5,8.98,9.13,64606895,,,,,,,,,
2025-06-03T00:00:00+08:00,9.39,9.71,9.39,9.61,45114976,,,,,,,,,
2025-06-04T00:00:00+08:00,9.72,9.94,9.69,9.89,28910996,,,,,,,,,
2025-06-05T00:00:00+08:00,9.98,10.08,9.94,9.98,29735444,,,,,,,,,
2025-06-06T00:00:00+08:00,10.1,10.16,9.98,10.01,22131308,,,,,,,,,
2025-06-09T00:00:00+08:00,10.09,10.37,10.09,10.24,41595867,,,,,,,,,
2025-06-10T00:00:00+08:00,10.37,10.46,10.22,10.23,25992599,,,,,,,,,
2025-06-11T00:00:00+08:00,10.37,10.63,10.37,10.6,33055315,,,,,,,,,
2025-06-12T00:00:00+08:00,10.53,10.53,10.35,10.35,28847515,,,,,,,,,
2025-06-13T00:00:00+08:00,10.17,10.21,9.95,9.99,34475538,,,,,,,,,
2025-06-16T00:00:00+08:00,10.0,10.08,9.89,10.08,18942427,,,,,,,,,
2025-06-17T00:00:00+08:00,10.2,10.24,10.08,10.12,21517419,,,,,,,,,
2025-06-18T00:00:00+08:00,10.01,10.07,9.85,9.88,28963208,,,,,,,,,
2025-06-19T00:00:00+08:00,9.8,9.84,9.48,9.54,40632618,,,,,,,,,
2025-06-20T00:00:00+08:00,9.5,9.72,9.49,9.68,21643740,,,,,,,,,
2025-06-23T00:00:00+08:00,9.59,9.86,9.54,9.83,18214985,,,,,,,,,
2025-06-24T00:00:00+08:00,9.99,10.29,9.99,10.22,43349878,,,,,,,,,
2025-06-25T00:00:00+08:00,10.4,10.41,10.29,10.36,20750292,,,,,,,,,
2025-06-26T00:00:00+08:00,10.33,10.36,10.2,10.24,22672914,,,,,,,,,
2025-06-27T00:00:00+08:00,10.29,10.33,10.05,10.05,28768182,,,,,,,,,
2025-06-30T00:00:00+08:00,10.09,10.16,9.97,10.1,17293843,,,,,,,,,
2025-07-01T00:00:00+08:00,10.11,10.15,10.09,10.1,7564155,,,,,,,,,
2025-07-02T00:00:00+08:00,10.11,10.24,10.01,10.03,25478630,,,,,,,,,
2025-07-03T00:00:00+08:00,10.06,10.07,9.76,9.79,27097463,,,,,,,,,
2025-07-04T00:00:00+08:00,9.79,9.92,9.58,9.92,34107278,,,,,,,,,
2025-07-07T00:00:00+08:00,9.8,9.83,9.64,9.78,19893274,,,,,,,,,
2025-07-08T00:00:00+08:00,9.8,10.04,9.8,9.95,17983064,,,,,,,,,
2025-07-09T00:00:00+08:00,10.01,10.03,9.81,9.88,19458914,,,,,,,,,
2025-07-10T00:00:00+08:00,9.81,9.95,9.78,9.94,18772709,,,,,,,,,
2025-07-11T00:00:00+08:00,9.97,10.36,9.92,10.29,46217115,,,,,,,,,
2025-07-14T00:00:00+08:00,10.03,10.15,9.98,10.15,24126607,,,,,,,,,
2025-07-15T00:00:00+08:00,10.2,10.46,10.08,10.21,34069023,,,,,,,,,
2025-07-16T00:00:00+08:00,10.49,10.74,10.49,10.5,50193269,,,,,,,,,
2025-07-17T00:00:00+08:00,10.5,10.61,10.41,10.5,21390448,,,,,,,,,
2025-07-18T00:00:00+08:00,10.6,10.71,10.55,10.6,22935238,,,,,,,,,
2025-07-21T00:00:00+08:00,10.77,10.93,10.75,10.78,28335113,,,,,,,,,
2025-07-22T00:00:00+08:00,10.89,10.96,10.73,10.9,26832789,,,,,,,,,
2025-07-23T00:00:00+08:00,11.1,11.33,11.06,11.33,36768656,,,,,,,,,
2025-07-24T00:00:00+08:00,11.32,11.48,11.24,11.45,24086943,,,,,,,,,
2025-07-25T00:00:00+08:00,11.29,11.32,11.1,11.17,30926883,,,,,,,,,
2025-07-28T00:00:00+08:00,11.17,11.33,11.13,11.17,25727968,,,,,,,,,
2025-07-29T00:00:00+08:00,11.14,11.14,10.94,10.96,28501019,,,,,,,,,
2025-07-30T00:00:00+08:00,11.05,11.16,10.88,11.09,33646820,,,,,,,,,
2025-07-31T00:00:00+08:00,10.83,10.85,10.61,10.64,47245371,,,,,,,,,
2025-08-01T00:00:00+08:00,10.55,10.71,10.48,10.48,30670640,,,,,,,,,
2025-08-04T00:00:00+08:00,10.26,10.53,10.26,10.51,27915653,,,,,,,,,
2025-08-05T00:00:00+08:00,10.64,10.7,10.56,10.67,26652988,,,,,,,,,
2025-08-06T00:00:00+08:00,10.67,10.75,10.58,10.67,22235843,,,,,,,,,
2025-08-07T00:00:00+08:00,10.71,10.78,10.54,10.75,25093705,,,,,,,,,
2025-08-08T00:00:00+08:00,10.69,10.72,10.58,10.58,18857599,,,,,,,,,
2025-08-11T00:00:00+08:00,10.62,10.67,10.49,10.55,20746745,,,,,,,,,
2025-08-12T00:00:00+08:00,10.52,10.65,10.48,10.61,20222890,,,,,,,,,
2025-08-13T00:00:00+08:00,10.75,11.07,10.75,11.03,39748953,,,,,,,,,
2025-08-14T00:00:00+08:00,11.29,11.37,11.1,11.11,41156800,,,,,,,,,
2025-08-15T00:00:00+08:00,11.02,11.02,10.83,10.9,35206039,,,,,,,,,
