datetime,open,high,low,close,volume,foreign_net_buy_x,invest_trust_net_buy_x,dealer_net_buy_x,foreign_net_buy_y,invest_trust_net_buy_y,dealer_net_buy_y
2025-05-02T00:00:00+08:00,106.95,107.95,106.95,107.55,2336273,,,,,,
2025-05-05T00:00:00+08:00,108.4,108.5,106.4,107.3,3873966,,,,,,
2025-05-06T00:00:00+08:00,107.05,107.4,106.85,107.0,1276121,,,,,,
2025-05-07T00:00:00+08:00,108.35,108.75,107.35,107.4,957796,,,,,,
2025-05-08T00:00:00+08:00,107.75,109.7,107.75,109.5,1165106,,,,,,
2025-05-09T00:00:00+08:00,108.9,109.65,108.8,109.35,1652024,,,,,,
2025-05-12T00:00:00+08:00,112.65,113.25,112.65,113.2,1356834,,,,,,
2025-05-13T00:00:00+08:00,116.85,117.05,116.25,116.7,2489330,,,,,,
2025-05-14T00:00:00+08:00,121.3,122.0,121.1,121.9,2255584,,,,,,
2025-05-15T00:00:00+08:00,122.6,122.8,122.05,122.05,2258894,,,,,,
2025-05-16T00:00:00+08:00,122.15,122.85,122.1,122.65,1134744,,,,,,
2025-05-19T00:00:00+08:00,121.45,121.6,120.35,120.7,3096816,,,,,,
2025-05-20T00:00:00+08:00,123.7,123.8,123.0,123.55,1458537,,,,,,
2025-05-21T00:00:00+08:00,123.0,123.2,122.2,122.6,891938,,,,,,
2025-05-22T00:00:00+08:00,120.3,120.65,119.9,120.35,1669889,,,,,,
2025-05-23T00:00:00+08:00,120.4,120.5,119.9,120.2,991119,,,,,,
2025-05-26T00:00:00+08:00,120.0,120.9,119.8,120.6,1312828,,,,,,
2025-05-27T00:00:00+08:00,120.8,120.8,119.95,120.35,772049,,,,,,
2025-05-28T00:00:00+08:00,123.55,123.7,123.15,123.3,1724866,,,,,,
2025-05-29T00:00:00+08:00,127.3,127.5,126.9,127.5,2605671,,,,,,
2025-06-02T00:00:00+08:00,121.6,121.75,120.65,120.65,1916402,,,,,,
2025-06-03T00:00:00+08:00,123.55,123.8,123.1,123.4,804568,,,,,,
2025-06-04T00:00:00+08:00,126.25,126.25,125.7,126.0,1211382,,,,,,
2025-06-05T00:00:00+08:00,126.6,126.75,126.4,126.4,1092135,,,,,,
2025-06-06T00:00:00+08:00,124.7,125.8,124.6,125.7,849584,,,,,,
2025-06-09T00:00:00+08:00,126.75,126.75,126.4,126.6,836631,,,,,,
2025-06-10T00:00:00+08:00,127.95,129.25,126.95,126.95,1172996,,,,,,
2025-06-11T00:00:00+08:00,128.7,128.7,128.15,128.25,859298,,,,,,
2025-06-12T00:00:00+08:00,127.4,127.65,126.75,127.65,1321805,,,,,,
2025-06-13T00:00:00+08:00,124.25,125.05,123.6,124.25,2683409,,,,,,
2025-06-16T00:00:00+08:00,125.95,126.25,125.7,126.25,943191,,,,,,
2025-06-17T00:00:00+08:00,127.8,128.1,127.2,127.75,1305645,,,,,,
2025-06-18T00:00:00+08:00,126.65,127.05,126.35,126.85,675559,,,,,,
2025-06-19T00:00:00+08:00,125.6,125.65,124.7,125.55,1884142,,,,,,
2025-06-20T00:00:00+08:00,125.55,125.85,125.1,125.6,790114,,,,,,
2025-06-23T00:00:00+08:00,124.05,124.6,123.5,124.55,856602,,,,,,
2025-06-24T00:00:00+08:00,129.3,129.95,129.2,129.8,1703444,,,,,,
2025-06-25T00:00:00+08:00,131.55,131.8,131.3,131.8,1222960,,,,,,
2025-06-26T00:00:00+08:00,132.15,132.5,132.0,132.3,1117213,,,,,,
2025-06-27T00:00:00+08:00,134.3,134.75,134.25,134.6,1525320,,,,,,
2025-06-30T00:00:00+08:00,136.15,136.9,136.05,136.75,1332631,,,,,,
2025-07-01T00:00:00+08:00,137.15,137.35,136.5,136.55,1401987,,,,,,
2025-07-02T00:00:00+08:00,135.1,135.75,134.55,135.5,1031356,,,,,,
2025-07-03T00:00:00+08:00,136.65,136.85,136.2,136.75,827515,,,,,,
2025-07-04T00:00:00+08:00,138.6,138.9,138.2,138.2,1539372,,,,,,
2025-07-07T00:00:00+08:00,137.85,138.15,137.25,137.45,920687,,,,,,
2025-07-08T00:00:00+08:00,137.05,137.5,136.9,137.25,1006885,,,,,,
2025-07-09T00:00:00+08:00,136.9,137.1,136.7,136.85,465253,,,,,,
2025-07-10T00:00:00+08:00,138.3,138.5,138.2,138.3,912800,,,,,,
2025-07-11T00:00:00+08:00,136.9,138.0,136.75,138.0,592372,,,,,,
2025-07-14T00:00:00+08:00,136.65,136.85,136.45,136.65,431932,,,,,,
2025-07-15T00:00:00+08:00,138.25,140.4,138.25,140.2,1090386,,,,,,
2025-07-16T00:00:00+08:00,138.4,138.75,138.3,138.55,624306,,,,,,
2025-07-17T00:00:00+08:00,139.05,139.05,138.55,139.0,767217,,,,,,
2025-07-18T00:00:00+08:00,141.45,141.9,141.4,141.9,1160954,,,,,,
2025-07-21T00:00:00+08:00,141.3,141.7,141.3,141.7,517074,,,,,,
2025-07-22T00:00:00+08:00,142.35,142.8,141.85,141.9,1422169,,,,,,
2025-07-23T00:00:00+08:00,140.9,141.45,140.75,141.35,561361,,,,,,
2025-07-24T00:00:00+08:00,142.95,143.3,142.8,142.9,646498,,,,,,
2025-07-25T00:00:00+08:00,143.2,143.5,143.0,143.25,650398,,,,,,
2025-07-28T00:00:00+08:00,144.95,145.2,144.75,145.2,898867,,,,,,
2025-07-29T00:00:00+08:00,144.9,145.0,144.6,144.9,621248,,,,,,
2025-07-30T00:00:00+08:00,144.35,144.55,144.1,144.5,493847,,,,,,
2025-07-31T00:00:00+08:00,147.4,148.2,147.35,148.1,1342815,,,,,,
2025-08-01T00:00:00+08:00,141.85,142.7,141.75,142.35,1889751,,,,,,
2025-08-04T00:00:00+08:00,138.0,138.3,137.6,138.15,1844956,,,,,,
2025-08-05T00:00:00+08:00,142.55,142.85,142.4,142.8,1034769,,,,,,
2025-08-06T00:00:00+08:00,139.1,140.5,139.1,140.5,1032762,,,,,,
2025-08-07T00:00:00+08:00,144.15,144.4,143.75,144.0,1134802,,,,,,
2025-08-08T00:00:00+08:00,145.1,145.25,144.65,144.65,911328,,,,,,
2025-08-11T00:00:00+08:00,147.1,147.6,147.1,147.3,708434,,,,,,
2025-08-12T00:00:00+08:00,146.0,146.5,145.65,145.95,833417,,,,,,
2025-08-13T00:00:00+08:00,149.7,150.0,149.5,149.9,1444075,,,,,,
2025-08-14T00:00:00+08:00,149.55,149.8,149.5,149.6,595780,,,,,,
2025-08-15T00:00:00+08:00,149.3,149.8,149.05,149.65,679040,,,,,,
2025-08-18T00:00:00+08:00,148.85,149.1,148.65,148.7,1038864,,,,,,
2025-08-19T00:00:00+08:00,147.7,148.0,147.3,147.35,900361,,,,,,
2025-08-20T00:00:00+08:00,143.1,143.4,142.25,142.3,2198605,,,,,,
2025-08-21T00:00:00+08:00,141.8,142.8,141.55,142.3,1473516,,,,,,
2025-08-22T00:00:00+08:00,140.9,141.1,140.6,140.65,1077240,,,,,,
2025-08-25T00:00:00+08:00,144.95,145.05,144.6,145.05,1411658,,,,,,
2025-08-26T00:00:00+08:00,143.2,144.05,143.2,144.05,724521,,,,,,
2025-08-27T00:00:00+08:00,145.6,145.75,145.4,145.5,730555,,,,,,
2025-08-28T00:00:00+08:00,144.35,145.15,144.35,144.85,899231,,,,,,
2025-08-29T00:00:00+08:00,147.1,147.15,146.65,146.65,1405296,,,,,,
2025-10-01T00:00:00+08:00,157.0,157.2,156.6,156.7,770429,,,,,,
2025-10-02T00:00:00+08:00,160.25,160.6,160.2,160.45,888848,,,,,,
2025-10-03T00:00:00+08:00,161.35,162.0,161.3,162.0,638915,,,,,,
2025-10-07T00:00:00+08:00,161.45,162.25,161.45,162.2,1330491,,,,,,
2025-10-08T00:00:00+08:00,160.6,160.9,160.5,160.6,1023486,,,,,,
2025-10-09T00:00:00+08:00,164.0,164.3,163.55,164.25,946019,,,,,,
2025-10-13T00:00:00+08:00,157.75,160.3,157.4,157.95,4584468,,,,,,
2025-10-14T00:00:00+08:00,159.85,159.95,156.3,157.0,2578537,,,,,,
2025-10-15T00:00:00+08:00,156.95,158.5,156.65,158.35,1029357,,,,,,
2025-10-16T00:00:00+08:00,158.4,158.75,158.2,158.65,968544,,,,,,
2025-10-17T00:00:00+08:00,156.75,157.35,155.05,155.35,1510195,,,,,,
2025-10-20T00:00:00+08:00,159.85,160.95,159.65,160.95,1255667,,,,,,
2025-10-21T00:00:00+08:00,163.45,163.85,163.0,163.0,944928,,,,,,
2025-10-22T00:00:00+08:00,162.25,163.6,161.8,163.4,561290,,,,,,
2025-10-23T00:00:00+08:00,160.1,160.75,160.0,160.25,1033834,,,,,,
2025-10-27T00:00:00+08:00,168.35,169.2,168.15,169.2,1748508,,,,,,
2025-10-28T00:00:00+08:00,171.75,171.75,171.15,171.15,1278137,,,,,,
2025-10-29T00:00:00+08:00,174.0,175.35,174.0,175.35,1007844,,,,,,
2025-10-30T00:00:00+08:00,175.75,177.15,174.0,175.55,1435466,,,,,,
