datetime,open,high,low,close,volume,foreign_net_buy_x,invest_trust_net_buy_x,dealer_net_buy_x,foreign_net_buy_y,invest_trust_net_buy_y,dealer_net_buy_y,foreign_net_buy,invest_trust_net_buy,dealer_net_buy
2025-05-02T00:00:00+08:00,8.0,8.0,7.87,7.91,20224962,,,,,,,,,
2025-05-05T00:00:00+08:00,8.33,8.34,8.24,8.25,29570481,,,,,,,,,
2025-05-06T00:00:00+08:00,8.07,8.07,8.01,8.03,18101984,,,,,,,,,
2025-05-07T00:00:00+08:00,7.8,7.85,7.79,7.81,9345728,,,,,,,,,
2025-05-08T00:00:00+08:00,8.01,8.01,7.94,7.96,7360773,,,,,,,,,
2025-05-09T00:00:00+08:00,7.75,7.77,7.71,7.73,9981128,,,,,,,,,
2025-05-12T00:00:00+08:00,7.64,7.64,7.58,7.59,9745123,,,,,,,,,
2025-05-13T00:00:00+08:00,7.56,7.57,7.53,7.54,13678555,,,,,,,,,
2025-05-14T00:00:00+08:00,7.36,7.38,7.35,7.37,30438338,,,,,,,,,
2025-05-15T00:00:00+08:00,7.49,7.58,7.48,7.57,26204505,,,,,,,,,
2025-05-16T00:00:00+08:00,7.55,7.56,7.46,7.52,13388497,,,,,,,,,
2025-05-19T00:00:00+08:00,7.45,7.5,7.44,7.5,10148870,,,,,,,,,
2025-05-20T00:00:00+08:00,7.42,7.46,7.42,7.45,12535359,,,,,,,,,
2025-05-21T00:00:00+08:00,7.35,7.36,7.3,7.32,30843832,,,,,,,,,
2025-05-22T00:00:00+08:00,7.51,7.52,7.45,7.45,20318888,,,,,,,,,
2025-05-23T00:00:00+08:00,7.54,7.57,7.53,7.55,18468022,,,,,,,,,
2025-05-26T00:00:00+08:00,7.44,7.48,7.43,7.46,7770470,,,,,,,,,
2025-05-27T00:00:00+08:00,7.47,7.51,7.44,7.5,7769683,,,,,,,,,
2025-05-28T00:00:00+08:00,7.47,7.52,7.47,7.51,6157917,,,,,,,,,
2025-05-29T00:00:00+08:00,7.35,7.37,7.32,7.33,26520794,,,,,,,,,
2025-06-02T00:00:00+08:00,7.39,7.39,7.33,7.36,11788863,,,,,,,,,
2025-06-03T00:00:00+08:00,7.29,7.34,7.26,7.34,9791175,,,,,,,,,
2025-06-04T00:00:00+08:00,7.27,7.3,7.26,7.3,11379990,,,,,,,,,
2025-06-05T00:00:00+08:00,7.33,7.35,7.31,7.34,8881935,,,,,,,,,
2025-06-06T00:00:00+08:00,7.27,7.29,7.26,7.29,8795984,,,,,,,,,
2025-06-09T00:00:00+08:00,7.13,7.14,7.12,7.13,40485042,,,,,,,,,
2025-06-10T00:00:00+08:00,7.04,7.05,7.01,7.05,44129000,,,,,,,,,
2025-06-11T00:00:00+08:00,7.09,7.1,7.07,7.08,17328451,,,,,,,,,
2025-06-12T00:00:00+08:00,6.76,6.82,6.74,6.81,100820207,,,,,,,,,
2025-06-13T00:00:00+08:00,6.36,6.38,6.19,6.28,183031155,,,,,,,,,
2025-06-16T00:00:00+08:00,6.23,6.28,6.21,6.25,102020227,,,,,,,,,
2025-06-17T00:00:00+08:00,6.33,6.37,6.26,6.33,61237431,,,,,,,,,
2025-06-18T00:00:00+08:00,6.12,6.24,6.12,6.23,56803776,,,,,,,,,
2025-06-19T00:00:00+08:00,6.21,6.22,6.15,6.15,25537292,,,,,,,,,
2025-06-20T00:00:00+08:00,6.1,6.16,6.09,6.11,28278512,,,,,,,,,
2025-06-23T00:00:00+08:00,5.97,6.03,5.94,6.03,42186334,,,,,,,,,
2025-06-24T00:00:00+08:00,6.61,6.65,6.56,6.63,155604769,,,,,,,,,
2025-06-25T00:00:00+08:00,6.72,6.73,6.69,6.7,44128485,,,,,,,,,
2025-06-26T00:00:00+08:00,6.72,6.72,6.68,6.69,22273909,,,,,,,,,
2025-06-27T00:00:00+08:00,6.68,6.68,6.63,6.63,18463456,,,,,,,,,
2025-06-30T00:00:00+08:00,6.74,6.75,6.68,6.68,15156756,,,,,,,,,
2025-07-01T00:00:00+08:00,6.73,6.75,6.72,6.74,19129411,,,,,,,,,
2025-07-02T00:00:00+08:00,6.68,6.69,6.66,6.67,8806014,,,,,,,,,
2025-07-03T00:00:00+08:00,6.5,6.53,6.48,6.52,20689394,,,,,,,,,
2025-07-04T00:00:00+08:00,6.51,6.52,6.48,6.5,7401877,,,,,,,,,
2025-07-07T00:00:00+08:00,6.61,6.62,6.57,6.57,19682659,,,,,,,,,
2025-07-08T00:00:00+08:00,6.46,6.48,6.44,6.46,18827740,,,,,,,,,
2025-07-09T00:00:00+08:00,6.42,6.42,6.39,6.42,15061820,,,,,,,,,
2025-07-10T00:00:00+08:00,6.42,6.42,6.38,6.4,9797584,,,,,,,,,
2025-07-11T00:00:00+08:00,6.54,6.54,6.5,6.52,15442349,,,,,,,,,
2025-07-14T00:00:00+08:00,6.38,6.39,6.37,6.39,17537539,,,,,,,,,
2025-07-15T00:00:00+08:00,6.51,6.54,6.51,6.51,21498104,,,,,,,,,
2025-07-16T00:00:00+08:00,6.51,6.53,6.5,6.51,12129202,,,,,,,,,
2025-07-17T00:00:00+08:00,6.52,6.55,6.52,6.54,11564640,,,,,,,,,
2025-07-18T00:00:00+08:00,6.44,6.48,6.43,6.44,14579023,,,,,,,,,
2025-07-21T00:00:00+08:00,6.47,6.48,6.46,6.47,4175831,,,,,,,,,
2025-07-22T00:00:00+08:00,6.51,6.56,6.5,6.54,14891241,,,,,,,,,
2025-07-23T00:00:00+08:00,6.53,6.54,6.51,6.52,5231741,,,,,,,,,
2025-07-24T00:00:00+08:00,6.52,6.54,6.51,6.52,6207282,,,,,,,,,
2025-07-25T00:00:00+08:00,6.47,6.48,6.44,6.46,7358403,,,,,,,,,
2025-07-28T00:00:00+08:00,6.54,6.55,6.52,6.52,14915057,,,,,,,,,
2025-07-29T00:00:00+08:00,6.42,6.45,6.42,6.45,14935259,,,,,,,,,
2025-07-30T00:00:00+08:00,6.21,6.22,6.19,6.21,58577192,,,,,,,,,
2025-07-31T00:00:00+08:00,6.13,6.16,6.12,6.16,33973797,,,,,,,,,
2025-08-01T00:00:00+08:00,6.19,6.22,6.18,6.2,13652817,,,,,,,,,
2025-08-04T00:00:00+08:00,6.36,6.39,6.35,6.35,38267852,,,,,,,,,
2025-08-05T00:00:00+08:00,6.45,6.48,6.43,6.47,36312898,,,,,,,,,
2025-08-06T00:00:00+08:00,6.54,6.55,6.51,6.52,28872306,,,,,,,,,
2025-08-07T00:00:00+08:00,6.6,6.6,6.56,6.58,23729955,,,,,,,,,
2025-08-08T00:00:00+08:00,6.68,6.71,6.67,6.7,49740618,,,,,,,,,
2025-08-11T00:00:00+08:00,6.74,6.76,6.72,6.73,12317338,,,,,,,,,
2025-08-12T00:00:00+08:00,6.67,6.69,6.65,6.65,7420899,,,,,,,,,
2025-08-13T00:00:00+08:00,6.76,6.78,6.75,6.75,11586108,,,,,,,,,
2025-08-14T00:00:00+08:00,6.79,6.8,6.78,6.78,7190550,,,,,,,,,
2025-08-15T00:00:00+08:00,6.73,6.73,6.69,6.73,5733385,,,,,,,,,
2025-08-18T00:00:00+08:00,6.82,6.84,6.79,6.8,9504056,,,,,,,,,
2025-08-19T00:00:00+08:00,6.76,6.8,6.75,6.78,5619515,,,,,,,,,
2025-08-20T00:00:00+08:00,6.8,6.84,6.8,6.82,8668714,,,,,,,,,
2025-08-21T00:00:00+08:00,6.75,6.75,6.71,6.73,8544537,,,,,,,,,
2025-08-22T00:00:00+08:00,6.69,6.71,6.68,6.69,3212257,,,,,,,,,
2025-08-25T00:00:00+08:00,6.66,6.68,6.64,6.66,4855527,,,,,,,,,
2025-08-26T00:00:00+08:00,6.59,6.59,6.58,6.59,7196024,,,,,,,,,
2025-08-27T00:00:00+08:00,6.69,6.72,6.69,6.71,6625779,,,,,,,,,
2025-08-28T00:00:00+08:00,6.66,6.69,6.65,6.68,3745633,,,,,,,,,
2025-08-29T00:00:00+08:00,6.61,6.63,6.6,6.62,5698282,,,,,,,,,
2025-09-01T00:00:00+08:00,6.65,6.67,6.64,6.66,3109541,,,,,,,,,
2025-09-02T00:00:00+08:00,6.56,6.56,6.54,6.56,10704210,,,,,,,,,
2025-09-03T00:00:00+08:00,6.49,6.51,6.48,6.51,19304510,,,,,,,,,
2025-09-04T00:00:00+08:00,6.65,6.69,6.65,6.69,20219077,,,,,,,,,
2025-09-05T00:00:00+08:00,6.7,6.72,6.68,6.69,7232022,,,,,,,,,
2025-09-08T00:00:00+08:00,6.8,6.81,6.74,6.75,18594084,,,,,,,,,
2025-09-09T00:00:00+08:00,6.76,6.77,6.73,6.73,7532413,,,,,,,,,
2025-09-10T00:00:00+08:00,6.71,6.71,6.66,6.66,4125856,,,,,,,,,
2025-09-11T00:00:00+08:00,6.63,6.66,6.62,6.66,3843750,,,,,,,,,
2025-09-12T00:00:00+08:00,6.78,6.81,6.78,6.8,20549589,,,,,,,,,
2025-09-15T00:00:00+08:00,6.7,6.7,6.67,6.69,5150670,,,,,,,,,
2025-09-16T00:00:00+08:00,6.65,6.65,6.63,6.65,7095202,,,,,,,,,
2025-09-17T00:00:00+08:00,6.54,6.56,6.53,6.56,18904461,,,,,,,,,
2025-09-18T00:00:00+08:00,6.6,6.63,6.59,6.62,7967170,,,,,,,,,
2025-09-19T00:00:00+08:00,6.63,6.65,6.62,6.65,9813819,,,,,,,,,
2025-09-22T00:00:00+08:00,6.69,6.7,6.66,6.66,11309710,,,,,,,,,
2025-09-23T00:00:00+08:00,6.72,6.77,6.72,6.75,16058234,,,,,,,,,
2025-09-24T00:00:00+08:00,6.59,6.62,6.58,6.62,10477916,,,,,,,,,
2025-09-25T00:00:00+08:00,6.48,6.51,6.48,6.51,49953285,,,,,,,,,
2025-09-26T00:00:00+08:00,6.45,6.46,6.44,6.45,46840063,,,,,,,,,
2025-09-30T00:00:00+08:00,6.63,6.65,6.62,6.63,50467781,,,,,,,,,
2025-10-01T00:00:00+08:00,6.71,6.72,6.67,6.68,41479620,,,,,,,,,
2025-10-02T00:00:00+08:00,6.74,6.75,6.71,6.71,29515524,,,,,,,,,
2025-10-03T00:00:00+08:00,6.88,6.89,6.85,6.85,31230692,,,,,,,,,
2025-10-07T00:00:00+08:00,6.78,6.78,6.74,6.75,7073088,,,,,,,,,
2025-10-08T00:00:00+08:00,6.72,6.73,6.71,6.71,2512270,,,,,,,,,
2025-10-09T00:00:00+08:00,6.74,6.76,6.71,6.72,3126379,,,,,,,,,
2025-10-13T00:00:00+08:00,6.98,7.01,6.96,6.98,41064768,,,,,,,,,
2025-10-14T00:00:00+08:00,6.97,7.03,6.97,7.02,25524567,,,,,,,,,
2025-10-22T00:00:00+08:00,28.88,28.92,28.41,28.44,6803510,,,,,,,,,
2025-10-23T00:00:00+08:00,27.66,27.74,27.21,27.23,2629225,,,,,,,,,
2025-10-27T00:00:00+08:00,26.78,26.91,26.78,26.78,3559381,,,,,,,,,
2025-10-28T00:00:00+08:00,26.98,27.03,26.93,27.0,2579917,,,,,,,,,
2025-10-29T00:00:00+08:00,27.36,27.5,27.34,27.46,2070919,,,,,,,,,
2025-10-30T00:00:00+08:00,27.34,27.51,27.33,27.43,1794603,,,,,,,,,
2025-10-31T00:00:00+08:00,27.42,27.48,27.35,27.48,673438,,,,,,,,,
2025-11-03T00:00:00+08:00,26.98,27.05,26.9,27.03,2918335,,,,,,,,,
2025-11-04T00:00:00+08:00,27.13,27.18,27.13,27.18,748641,,,,,,,,,
2025-11-05T00:00:00+08:00,27.4,27.53,27.3,27.31,1810420,,,,,,,,,
2025-11-06T00:00:00+08:00,27.67,27.74,27.59,27.59,3055930,,,,,,,,,
2025-11-07T00:00:00+08:00,27.7,27.73,27.65,27.68,1412491,,,,,,,,,
2025-11-10T00:00:00+08:00,27.53,27.56,27.43,27.43,1166442,,,,,,,,,
2025-11-11T00:00:00+08:00,27.54,27.6,27.52,27.58,483412,,,,,,,,,
2025-11-12T00:00:00+08:00,27.15,27.2,27.11,27.2,2941685,,,,,,,,,
2025-11-13T00:00:00+08:00,28.26,28.35,28.2,28.25,5848917,,,,,,,,,
2025-11-14T00:00:00+08:00,27.86,27.88,27.27,27.71,3858946,,,,,,,,,
2025-11-17T00:00:00+08:00,27.71,27.82,27.7,27.82,4026222,0.0,0.0,1244321.0,0.0,0.0,1244321.0,0.0,0.0,1244321.0
2025-11-18T00:00:00+08:00,27.7,27.8,27.67,27.78,1361767,0.0,0.0,164916.0,0.0,0.0,164916.0,0.0,0.0,164916.0
2025-11-19T00:00:00+08:00,27.29,27.4,27.28,27.35,6551296,0.0,0.0,-6060471.0,0.0,0.0,-6060471.0,0.0,0.0,-6060471.0
2025-11-20T00:00:00+08:00,27.7,27.77,27.69,27.73,5992028,21000.0,0.0,5521112.0,21000.0,0.0,5521112.0,21000.0,0.0,5521112.0
2025-11-21T00:00:00+08:00,28.15,28.42,28.14,28.3,6468235,,,,,,,,,
2025-11-24T00:00:00+08:00,28.47,28.5,28.42,28.43,2011188,,,,,,,,,
2025-11-25T00:00:00+08:00,28.13,28.24,28.1,28.22,880757,,,,,,,,,
