datetime,open,high,low,close,volume,foreign_net_buy_x,invest_trust_net_buy_x,dealer_net_buy_x,foreign_net_buy_y,invest_trust_net_buy_y,dealer_net_buy_y
2025-05-02T00:00:00+08:00,2.39,2.4,2.37,2.38,5521335,,,,,,
2025-05-05T00:00:00+08:00,2.36,2.43,2.36,2.4,5936873,,,,,,
2025-05-06T00:00:00+08:00,2.43,2.43,2.39,2.4,1155017,,,,,,
2025-05-07T00:00:00+08:00,2.39,2.42,2.39,2.41,1836037,,,,,,
2025-05-08T00:00:00+08:00,2.39,2.4,2.37,2.38,4948945,,,,,,
2025-05-09T00:00:00+08:00,2.37,2.38,2.35,2.36,4811810,,,,,,
2025-05-12T00:00:00+08:00,2.33,2.34,2.32,2.33,2017731,,,,,,
2025-05-13T00:00:00+08:00,2.28,2.3,2.27,2.3,5884453,,,,,,
2025-05-14T00:00:00+08:00,2.27,2.27,2.25,2.25,6765522,,,,,,
2025-05-15T00:00:00+08:00,2.25,2.27,2.25,2.26,3628646,,,,,,
2025-05-16T00:00:00+08:00,2.26,2.27,2.24,2.24,2633606,,,,,,
2025-05-19T00:00:00+08:00,2.25,2.28,2.25,2.28,4041638,,,,,,
2025-05-20T00:00:00+08:00,2.26,2.28,2.25,2.26,2127501,,,,,,
2025-05-21T00:00:00+08:00,2.26,2.26,2.24,2.25,2326135,,,,,,
2025-05-22T00:00:00+08:00,2.26,2.28,2.26,2.27,2321496,,,,,,
2025-05-23T00:00:00+08:00,2.26,2.28,2.26,2.27,1441062,,,,,,
2025-05-26T00:00:00+08:00,2.28,2.28,2.27,2.28,3636688,,,,,,
2025-05-27T00:00:00+08:00,2.27,2.31,2.27,2.3,5742045,,,,,,
2025-05-28T00:00:00+08:00,2.27,2.31,2.27,2.3,4314892,,,,,,
2025-05-29T00:00:00+08:00,2.26,2.29,2.26,2.29,4573379,,,,,,
2025-06-02T00:00:00+08:00,2.31,2.35,2.31,2.34,6134997,,,,,,
2025-06-03T00:00:00+08:00,2.31,2.33,2.3,2.33,3719048,,,,,,
2025-06-04T00:00:00+08:00,2.29,2.29,2.26,2.27,7841321,,,,,,
2025-06-05T00:00:00+08:00,2.25,2.26,2.24,2.25,5801527,,,,,,
2025-06-06T00:00:00+08:00,2.26,2.27,2.25,2.26,4856959,,,,,,
2025-06-09T00:00:00+08:00,2.23,2.25,2.23,2.24,4819807,,,,,,
2025-06-10T00:00:00+08:00,2.22,2.23,2.19,2.2,6781980,,,,,,
2025-06-11T00:00:00+08:00,2.19,2.2,2.18,2.19,3125670,,,,,,
2025-06-12T00:00:00+08:00,2.18,2.19,2.18,2.18,5160958,,,,,,
2025-06-13T00:00:00+08:00,2.21,2.22,2.19,2.22,5495140,,,,,,
2025-06-16T00:00:00+08:00,2.21,2.23,2.21,2.21,2643153,,,,,,
2025-06-17T00:00:00+08:00,2.19,2.21,2.19,2.2,3341579,,,,,,
2025-06-18T00:00:00+08:00,2.21,2.21,2.18,2.2,1573799,,,,,,
2025-06-19T00:00:00+08:00,2.19,2.21,2.19,2.21,2189546,,,,,,
2025-06-20T00:00:00+08:00,2.21,2.23,2.21,2.22,6821845,,,,,,
2025-06-23T00:00:00+08:00,2.25,2.26,2.23,2.23,5625407,,,,,,
2025-06-24T00:00:00+08:00,2.2,2.2,2.18,2.19,4267042,,,,,,
2025-06-25T00:00:00+08:00,2.17,2.18,2.16,2.16,3466556,,,,,,
2025-06-26T00:00:00+08:00,2.17,2.17,2.15,2.17,3800113,,,,,,
2025-06-27T00:00:00+08:00,2.15,2.18,2.15,2.17,1097336,,,,,,
2025-06-30T00:00:00+08:00,2.16,2.17,2.15,2.16,1535575,,,,,,
2025-07-01T00:00:00+08:00,2.16,2.16,2.12,2.15,4217683,,,,,,
2025-07-02T00:00:00+08:00,2.16,2.16,2.13,2.14,875476,,,,,,
2025-07-03T00:00:00+08:00,2.12,2.12,2.11,2.12,2724525,,,,,,
2025-07-04T00:00:00+08:00,2.11,2.14,2.1,2.14,2551941,,,,,,
2025-07-07T00:00:00+08:00,2.14,2.15,2.13,2.15,2031756,,,,,,
2025-07-08T00:00:00+08:00,2.15,2.17,2.14,2.15,2629132,,,,,,
2025-07-09T00:00:00+08:00,2.16,2.16,2.13,2.14,2097995,,,,,,
2025-07-10T00:00:00+08:00,2.14,2.14,2.11,2.13,3829858,,,,,,
2025-07-11T00:00:00+08:00,2.12,2.12,2.1,2.11,3262511,,,,,,
2025-07-14T00:00:00+08:00,2.11,2.13,2.11,2.13,840959,,,,,,
2025-07-15T00:00:00+08:00,2.13,2.13,2.09,2.09,3941641,,,,,,
2025-07-16T00:00:00+08:00,2.09,2.09,2.06,2.07,7121492,,,,,,
2025-07-17T00:00:00+08:00,2.07,2.08,2.06,2.07,2362607,,,,,,
2025-07-18T00:00:00+08:00,2.04,2.05,2.03,2.04,3596064,,,,,,
2025-07-21T00:00:00+08:00,2.04,2.05,2.04,2.05,2323510,,,,,,
2025-07-22T00:00:00+08:00,2.05,2.07,2.03,2.07,4415511,,,,,,
2025-07-23T00:00:00+08:00,2.06,2.06,2.04,2.05,1061780,,,,,,
2025-07-24T00:00:00+08:00,2.04,2.05,2.03,2.04,1833547,,,,,,
2025-07-25T00:00:00+08:00,2.04,2.05,2.03,2.05,2085971,,,,,,
2025-07-28T00:00:00+08:00,2.02,2.04,2.02,2.03,767762,,,,,,
2025-07-29T00:00:00+08:00,2.04,2.06,2.03,2.06,1608355,,,,,,
2025-07-30T00:00:00+08:00,2.04,2.05,2.03,2.03,4565631,,,,,,
2025-07-31T00:00:00+08:00,2.03,2.03,2.01,2.01,4591449,,,,,,
2025-08-01T00:00:00+08:00,2.04,2.05,2.02,2.03,2132657,,,,,,
2025-08-04T00:00:00+08:00,2.05,2.06,2.04,2.04,3634205,,,,,,
2025-08-05T00:00:00+08:00,2.03,2.03,2.01,2.02,2159803,,,,,,
2025-08-06T00:00:00+08:00,2.03,2.03,2.02,2.03,1398947,,,,,,
2025-08-07T00:00:00+08:00,2.0,2.01,1.97,1.97,15781714,,,,,,
2025-08-08T00:00:00+08:00,1.97,1.98,1.97,1.98,1296522,,,,,,
2025-08-11T00:00:00+08:00,1.98,1.99,1.95,1.97,3903119,,,,,,
2025-08-12T00:00:00+08:00,1.97,1.97,1.95,1.96,2198428,,,,,,
2025-08-13T00:00:00+08:00,1.95,1.96,1.94,1.95,3261209,,,,,,
2025-08-14T00:00:00+08:00,1.96,1.96,1.94,1.95,2154506,,,,,,
2025-08-15T00:00:00+08:00,1.95,1.96,1.94,1.94,1764136,,,,,,
2025-08-18T00:00:00+08:00,1.95,1.96,1.94,1.94,2057493,,,,,,
2025-08-19T00:00:00+08:00,1.95,1.95,1.94,1.95,1698645,,,,,,
2025-08-20T00:00:00+08:00,1.97,2.0,1.97,1.99,4930916,,,,,,
2025-08-21T00:00:00+08:00,2.0,2.0,1.97,1.99,2418400,,,,,,
2025-08-22T00:00:00+08:00,1.98,2.0,1.97,1.99,2783898,,,,,,
2025-08-25T00:00:00+08:00,1.96,1.97,1.94,1.96,6122913,,,,,,
2025-08-26T00:00:00+08:00,1.96,1.96,1.94,1.95,899468,,,,,,
2025-08-27T00:00:00+08:00,1.95,1.95,1.93,1.93,2145010,,,,,,
2025-08-28T00:00:00+08:00,1.94,1.96,1.93,1.94,2896938,,,,,,
2025-08-29T00:00:00+08:00,1.94,1.95,1.93,1.95,1509031,,,,,,
2025-09-01T00:00:00+08:00,1.96,1.98,1.95,1.97,2114743,,,,,,
2025-09-02T00:00:00+08:00,1.96,1.98,1.96,1.97,1919777,,,,,,
2025-09-03T00:00:00+08:00,1.98,1.98,1.96,1.97,1033223,,,,,,
2025-09-04T00:00:00+08:00,1.96,1.96,1.94,1.96,2717926,,,,,,
2025-09-05T00:00:00+08:00,1.95,1.95,1.93,1.94,1983465,,,,,,
2025-09-08T00:00:00+08:00,1.92,1.93,1.91,1.93,2380922,,,,,,
2025-09-09T00:00:00+08:00,1.91,1.92,1.9,1.91,8404389,,,,,,
2025-09-10T00:00:00+08:00,1.89,1.9,1.87,1.89,5581039,,,,,,
2025-09-11T00:00:00+08:00,1.87,1.88,1.86,1.87,4911012,,,,,,
2025-09-12T00:00:00+08:00,1.86,1.87,1.85,1.85,3909793,,,,,,
2025-09-15T00:00:00+08:00,1.86,1.87,1.86,1.87,2008679,,,,,,
2025-09-16T00:00:00+08:00,1.86,1.86,1.84,1.85,3031870,,,,,,
2025-09-17T00:00:00+08:00,1.86,1.86,1.85,1.86,263103,,,,,,
2025-09-18T00:00:00+08:00,1.85,1.86,1.83,1.84,2376136,,,,,,
2025-09-19T00:00:00+08:00,1.83,1.85,1.83,1.84,6763010,,,,,,
2025-09-22T00:00:00+08:00,1.84,1.84,1.82,1.82,1640088,,,,,,
2025-09-23T00:00:00+08:00,1.81,1.81,1.79,1.8,3754769,,,,,,
2025-09-24T00:00:00+08:00,1.8,1.82,1.79,1.81,1229815,,,,,,
2025-09-25T00:00:00+08:00,1.81,1.81,1.79,1.81,2693236,,,,,,
2025-09-26T00:00:00+08:00,1.82,1.85,1.82,1.83,4426397,,,,,,
2025-09-30T00:00:00+08:00,1.83,1.83,1.81,1.83,2311281,,,,,,
2025-10-01T00:00:00+08:00,1.82,1.82,1.8,1.82,2395897,,,,,,
2025-10-02T00:00:00+08:00,1.79,1.79,1.78,1.79,3001096,,,,,,
2025-10-03T00:00:00+08:00,1.79,1.79,1.76,1.77,4201366,,,,,,
2025-10-07T00:00:00+08:00,1.76,1.76,1.73,1.73,4349890,,,,,,
2025-10-08T00:00:00+08:00,1.75,1.76,1.74,1.75,3231767,,,,,,
2025-10-09T00:00:00+08:00,1.73,1.74,1.72,1.73,2236513,,,,,,
2025-10-13T00:00:00+08:00,1.78,1.78,1.75,1.75,3983811,,,,,,
2025-10-14T00:00:00+08:00,1.72,1.77,1.72,1.77,4299405,,,,,,
2025-10-15T00:00:00+08:00,1.75,1.77,1.73,1.74,4145505,,,,,,
2025-10-16T00:00:00+08:00,1.73,1.73,1.7,1.71,6618057,,,,,,
2025-10-17T00:00:00+08:00,1.73,1.73,1.71,1.73,2259600,,,,,,
2025-10-20T00:00:00+08:00,1.72,1.72,1.7,1.7,2105670,,,,,,
2025-10-21T00:00:00+08:00,1.7,1.7,1.68,1.69,4760817,,,,,,
2025-10-22T00:00:00+08:00,1.71,1.72,1.7,1.7,2236441,,,,,,
2025-10-23T00:00:00+08:00,1.72,1.73,1.71,1.72,1667383,,,,,,
2025-10-27T00:00:00+08:00,1.68,1.68,1.67,1.67,2982755,,,,,,
2025-10-28T00:00:00+08:00,1.67,1.69,1.67,1.68,1601068,,,,,,
2025-10-29T00:00:00+08:00,1.67,1.67,1.66,1.66,2670296,,,,,,
2025-10-30T00:00:00+08:00,1.66,1.68,1.66,1.67,1805208,,,,,,
2025-10-31T00:00:00+08:00,1.66,1.66,1.65,1.65,1882552,,,,,,
2025-11-03T00:00:00+08:00,1.67,1.67,1.65,1.66,1550101,,,,,,
2025-11-04T00:00:00+08:00,1.66,1.68,1.65,1.67,4037970,,,,,,
2025-11-05T00:00:00+08:00,1.72,1.72,1.69,1.7,5094627,,,,,,
2025-11-06T00:00:00+08:00,1.68,1.69,1.67,1.68,2743345,,,,,,
2025-11-07T00:00:00+08:00,1.71,1.71,1.69,1.7,3055114,,,,,,
2025-11-10T00:00:00+08:00,1.69,1.71,1.68,1.69,1811119,,,,,,
2025-11-11T00:00:00+08:00,1.68,1.7,1.67,1.7,3036110,,,,,,
2025-11-12T00:00:00+08:00,1.69,1.7,1.68,1.68,1363435,,,,,,
2025-11-13T00:00:00+08:00,1.69,1.7,1.68,1.69,1660029,,,,,,
2025-11-14T00:00:00+08:00,1.72,1.73,1.71,1.72,4364906,,,,,,
2025-11-17T00:00:00+08:00,1.71,1.72,1.71,1.72,2395015,5000.0,0.0,-820000.0,5000.0,0.0,-820000.0
2025-11-18T00:00:00+08:00,1.74,1.76,1.73,1.75,5009157,0.0,0.0,55287.0,0.0,0.0,55287.0
