datetime,open,high,low,close,volume,foreign_net_buy_x,invest_trust_net_buy_x,dealer_net_buy_x,foreign_net_buy_y,invest_trust_net_buy_y,dealer_net_buy_y
2025-05-02T00:00:00+08:00,19.15,19.3,18.88,18.9,561676,,,,,,
2025-05-05T00:00:00+08:00,18.9,19.2,17.7,17.82,399199,,,,,,
2025-05-06T00:00:00+08:00,17.82,18.19,17.82,18.19,231050,,,,,,
2025-05-07T00:00:00+08:00,18.19,18.28,18.19,18.27,353375,,,,,,
2025-05-08T00:00:00+08:00,18.42,18.42,18.27,18.29,150372,,,,,,
2025-05-09T00:00:00+08:00,18.29,18.35,18.22,18.22,232061,,,,,,
2025-05-12T00:00:00+08:00,18.22,18.31,18.22,18.28,338184,,,,,,
2025-05-13T00:00:00+08:00,18.31,18.53,18.31,18.53,254297,,,,,,
2025-05-14T00:00:00+08:00,18.53,18.54,18.5,18.52,147476,,,,,,
2025-05-15T00:00:00+08:00,18.55,18.55,18.39,18.39,189243,,,,,,
2025-05-16T00:00:00+08:00,18.39,18.39,18.31,18.33,226232,,,,,,
2025-05-19T00:00:00+08:00,18.36,18.39,18.36,18.38,172013,,,,,,
2025-05-20T00:00:00+08:00,18.38,18.43,18.38,18.38,803584,,,,,,
2025-05-21T00:00:00+08:00,18.38,18.38,18.32,18.36,859823,,,,,,
2025-05-22T00:00:00+08:00,18.24,18.24,18.16,18.19,947248,,,,,,
2025-05-23T00:00:00+08:00,18.26,18.26,18.19,18.19,835388,,,,,,
2025-05-26T00:00:00+08:00,18.01,18.22,18.01,18.09,976748,,,,,,
2025-05-27T00:00:00+08:00,18.09,18.14,18.09,18.14,817771,,,,,,
2025-05-28T00:00:00+08:00,18.23,18.25,18.21,18.23,732739,,,,,,
2025-05-29T00:00:00+08:00,18.15,18.36,18.15,18.35,164761,,,,,,
2025-06-02T00:00:00+08:00,18.28,18.32,18.25,18.31,757130,,,,,,
2025-06-03T00:00:00+08:00,18.36,18.36,18.28,18.31,818755,,,,,,
2025-06-04T00:00:00+08:00,18.34,18.37,18.33,18.36,781514,,,,,,
2025-06-05T00:00:00+08:00,18.35,18.35,18.3,18.33,735478,,,,,,
2025-06-06T00:00:00+08:00,18.32,18.4,18.32,18.34,839680,,,,,,
2025-06-09T00:00:00+08:00,18.37,18.37,18.31,18.33,812992,,,,,,
2025-06-10T00:00:00+08:00,18.33,18.37,18.33,18.36,789965,,,,,,
2025-06-11T00:00:00+08:00,18.38,18.38,18.34,18.34,786469,,,,,,
2025-06-12T00:00:00+08:00,18.33,18.33,18.19,18.22,779644,,,,,,
2025-06-13T00:00:00+08:00,18.12,18.18,18.09,18.18,887973,,,,,,
2025-06-16T00:00:00+08:00,18.15,18.17,18.09,18.12,784588,,,,,,
2025-06-17T00:00:00+08:00,18.12,18.12,18.06,18.07,813878,,,,,,
2025-06-18T00:00:00+08:00,17.86,17.86,17.75,17.78,798522,,,,,,
2025-06-19T00:00:00+08:00,17.78,17.83,17.74,17.83,802028,,,,,,
2025-06-20T00:00:00+08:00,17.8,17.82,17.75,17.78,816246,,,,,,
2025-06-23T00:00:00+08:00,17.79,17.9,17.79,17.9,828272,,,,,,
2025-06-24T00:00:00+08:00,17.88,17.91,17.87,17.89,766676,,,,,,
2025-06-25T00:00:00+08:00,17.89,17.89,17.82,17.84,759170,,,,,,
2025-06-26T00:00:00+08:00,17.78,17.79,17.69,17.7,247170,,,,,,
2025-06-27T00:00:00+08:00,17.7,17.7,17.58,17.58,186496,,,,,,
2025-06-30T00:00:00+08:00,17.56,17.75,17.56,17.7,990384,,,,,,
2025-07-01T00:00:00+08:00,17.7,17.79,17.7,17.76,154919,,,,,,
2025-07-02T00:00:00+08:00,17.73,17.73,17.7,17.71,179965,,,,,,
2025-07-03T00:00:00+08:00,17.72,17.72,17.59,17.63,253087,,,,,,
2025-07-04T00:00:00+08:00,17.55,17.61,17.55,17.58,126210,,,,,,
2025-07-07T00:00:00+08:00,17.58,17.74,17.58,17.74,449799,,,,,,
2025-07-08T00:00:00+08:00,17.69,17.72,17.69,17.72,194309,,,,,,
2025-07-09T00:00:00+08:00,17.72,17.72,17.69,17.71,298121,,,,,,
2025-07-10T00:00:00+08:00,17.69,17.81,17.69,17.81,133793,,,,,,
