datetime,open,high,low,close,volume,foreign_net_buy_x,invest_trust_net_buy_x,dealer_net_buy_x,foreign_net_buy_y,invest_trust_net_buy_y,dealer_net_buy_y,foreign_net_buy,invest_trust_net_buy,dealer_net_buy
2025-05-02T00:00:00+08:00,26.85,27.04,26.73,27.01,422315,,,,,,,,,
2025-05-05T00:00:00+08:00,27.01,27.01,26.46,26.59,453535,,,,,,,,,
2025-05-06T00:00:00+08:00,26.67,26.93,26.6,26.93,349988,,,,,,,,,
2025-05-07T00:00:00+08:00,27.15,27.19,26.8,26.87,119884,,,,,,,,,
2025-05-08T00:00:00+08:00,26.54,26.63,26.45,26.51,419222,,,,,,,,,
2025-05-09T00:00:00+08:00,26.19,26.19,25.6,25.94,713998,,,,,,,,,
2025-05-12T00:00:00+08:00,26.66,26.8,26.6,26.77,662628,,,,,,,,,
2025-05-13T00:00:00+08:00,26.43,26.61,26.31,26.6,475752,,,,,,,,,
2025-05-14T00:00:00+08:00,26.82,26.9,26.72,26.79,270483,,,,,,,,,
2025-05-15T00:00:00+08:00,26.56,26.56,26.27,26.27,311649,,,,,,,,,
2025-05-16T00:00:00+08:00,26.65,26.68,26.6,26.63,178917,,,,,,,,,
2025-05-19T00:00:00+08:00,26.31,26.31,26.03,26.15,546820,,,,,,,,,
2025-05-20T00:00:00+08:00,26.52,26.56,26.45,26.47,257642,,,,,,,,,
2025-05-21T00:00:00+08:00,26.68,26.82,26.6,26.82,489308,,,,,,,,,
2025-05-22T00:00:00+08:00,26.61,26.95,26.6,26.86,537836,,,,,,,,,
2025-05-23T00:00:00+08:00,26.7,26.78,26.62,26.78,210042,,,,,,,,,
2025-05-26T00:00:00+08:00,27.56,27.73,27.54,27.67,1272779,,,,,,,,,
2025-05-27T00:00:00+08:00,27.5,27.54,27.17,27.2,865042,,,,,,,,,
2025-05-28T00:00:00+08:00,27.0,27.0,26.72,26.73,671345,,,,,,,,,
2025-05-29T00:00:00+08:00,26.6,26.68,26.54,26.67,157431,,,,,,,,,
2025-06-02T00:00:00+08:00,27.14,27.72,27.14,27.68,533529,,,,,,,,,
2025-06-03T00:00:00+08:00,27.51,27.51,26.87,26.9,575806,,,,,,,,,
2025-06-04T00:00:00+08:00,27.55,27.81,27.55,27.66,416513,,,,,,,,,
2025-06-05T00:00:00+08:00,27.9,27.9,27.71,27.75,163711,,,,,,,,,
2025-06-06T00:00:00+08:00,27.89,28.0,27.89,27.91,182740,,,,,,,,,
2025-06-09T00:00:00+08:00,27.48,27.56,27.42,27.53,356054,,,,,,,,,
2025-06-10T00:00:00+08:00,27.72,27.76,27.59,27.59,207291,,,,,,,,,
2025-06-11T00:00:00+08:00,27.77,27.9,27.77,27.83,1179688,,,,,,,,,
2025-06-12T00:00:00+08:00,27.35,27.43,27.28,27.38,1433223,,,,,,,,,
2025-06-13T00:00:00+08:00,27.3,27.36,27.04,27.21,775163,,,,,,,,,
2025-06-16T00:00:00+08:00,27.11,27.31,27.11,27.26,730270,,,,,,,,,
2025-06-17T00:00:00+08:00,27.27,27.35,27.21,27.32,1218068,,,,,,,,,
2025-06-18T00:00:00+08:00,27.29,27.42,27.25,27.4,1170600,,,,,,,,,
2025-06-19T00:00:00+08:00,27.52,27.55,27.42,27.45,1280145,,,,,,,,,
2025-06-20T00:00:00+08:00,27.29,27.32,26.98,27.03,806775,,,,,,,,,
2025-06-23T00:00:00+08:00,27.28,27.38,27.22,27.29,781400,,,,,,,,,
2025-06-24T00:00:00+08:00,27.6,27.73,27.59,27.72,887354,,,,,,,,,
2025-06-25T00:00:00+08:00,27.71,27.82,27.63,27.69,809147,,,,,,,,,
2025-06-26T00:00:00+08:00,27.88,27.96,27.81,27.89,471070,,,,,,,,,
2025-06-27T00:00:00+08:00,28.61,28.62,28.43,28.48,430960,,,,,,,,,
2025-06-30T00:00:00+08:00,28.5,28.59,28.39,28.59,503625,,,,,,,,,
2025-07-01T00:00:00+08:00,28.58,28.58,28.36,28.49,272182,,,,,,,,,
2025-07-02T00:00:00+08:00,28.41,28.52,28.36,28.52,139859,,,,,,,,,
2025-07-03T00:00:00+08:00,28.89,28.9,28.78,28.83,195960,,,,,,,,,
2025-07-04T00:00:00+08:00,28.57,28.58,28.36,28.46,209327,,,,,,,,,
2025-07-07T00:00:00+08:00,28.14,28.14,27.93,27.95,983375,,,,,,,,,
2025-07-08T00:00:00+08:00,28.04,28.04,27.95,27.98,277412,,,,,,,,,
2025-07-09T00:00:00+08:00,30.86,31.76,30.77,31.29,14135856,,,,,,,,,
2025-07-10T00:00:00+08:00,31.29,31.32,31.03,31.26,824088,,,,,,,,,
2025-07-11T00:00:00+08:00,31.23,31.27,31.0,31.04,400292,,,,,,,,,
2025-07-14T00:00:00+08:00,31.04,31.16,31.02,31.04,216067,,,,,,,,,
2025-07-15T00:00:00+08:00,30.77,30.88,30.65,30.78,154733,,,,,,,,,
2025-07-16T00:00:00+08:00,30.74,30.87,30.7,30.7,153854,,,,,,,,,
2025-07-17T00:00:00+08:00,30.7,30.77,30.62,30.75,145042,,,,,,,,,
2025-07-18T00:00:00+08:00,30.72,30.82,30.72,30.82,92732,,,,,,,,,
2025-07-21T00:00:00+08:00,30.85,31.4,30.85,31.23,248684,,,,,,,,,
2025-07-22T00:00:00+08:00,31.38,31.38,31.11,31.15,186436,,,,,,,,,
2025-07-23T00:00:00+08:00,32.12,32.21,31.9,32.21,552785,,,,,,,,,
2025-07-24T00:00:00+08:00,32.53,32.76,32.46,32.74,630465,,,,,,,,,
2025-07-25T00:00:00+08:00,32.43,32.45,32.23,32.36,147134,,,,,,,,,
2025-07-28T00:00:00+08:00,32.43,32.43,32.2,32.2,169595,,,,,,,,,
2025-07-29T00:00:00+08:00,31.29,31.34,31.2,31.21,238881,,,,,,,,,
2025-07-30T00:00:00+08:00,31.58,31.75,31.52,31.55,871842,,,,,,,,,
2025-07-31T00:00:00+08:00,25.51,25.51,24.72,24.89,8039933,,,,,,,,,
2025-08-01T00:00:00+08:00,24.7,24.82,24.66,24.75,4130211,,,,,,,,,
2025-08-04T00:00:00+08:00,24.8,24.83,24.63,24.8,2301497,,,,,,,,,
2025-08-05T00:00:00+08:00,24.97,24.98,24.88,24.92,2276299,,,,,,,,,
2025-08-06T00:00:00+08:00,24.57,24.66,24.55,24.6,3162619,,,,,,,,,
2025-08-07T00:00:00+08:00,24.7,24.74,24.65,24.72,1272137,,,,,,,,,
2025-08-08T00:00:00+08:00,24.72,24.73,24.62,24.71,1294873,,,,,,,,,
2025-08-11T00:00:00+08:00,24.93,25.04,24.86,24.98,1708833,,,,,,,,,
2025-08-12T00:00:00+08:00,24.95,24.99,24.93,24.98,856578,,,,,,,,,
2025-08-13T00:00:00+08:00,25.25,25.3,25.2,25.3,2669449,,,,,,,,,
2025-08-14T00:00:00+08:00,25.23,25.28,25.18,25.19,2103140,,,,,,,,,
2025-08-15T00:00:00+08:00,25.19,25.2,25.12,25.17,671648,,,,,,,,,
2025-08-18T00:00:00+08:00,25.15,25.22,25.11,25.16,1471851,,,,,,,,,
2025-08-19T00:00:00+08:00,25.12,25.12,25.05,25.1,559816,,,,,,,,,
2025-08-20T00:00:00+08:00,24.9,24.92,24.82,24.85,1343744,,,,,,,,,
2025-08-21T00:00:00+08:00,24.91,24.97,24.89,24.94,225933,,,,,,,,,
2025-08-22T00:00:00+08:00,25.01,25.05,25.01,25.01,378255,,,,,,,,,
2025-08-25T00:00:00+08:00,25.12,25.21,25.07,25.17,679999,,,,,,,,,
2025-08-26T00:00:00+08:00,25.2,25.23,25.18,25.19,635788,,,,,,,,,
2025-08-27T00:00:00+08:00,25.12,25.17,25.06,25.06,730640,,,,,,,,,
2025-08-28T00:00:00+08:00,24.94,24.99,24.91,24.91,1086446,,,,,,,,,
2025-08-29T00:00:00+08:00,25.22,25.23,25.18,25.21,899765,,,,,,,,,
2025-09-01T00:00:00+08:00,25.4,25.5,25.35,25.49,1290955,,,,,,,,,
2025-09-02T00:00:00+08:00,25.43,25.5,25.38,25.44,994141,,,,,,,,,
2025-09-03T00:00:00+08:00,25.79,25.91,25.62,25.69,1169340,,,,,,,,,
2025-09-04T00:00:00+08:00,25.62,25.62,25.35,25.36,1343981,,,,,,,,,
2025-09-05T00:00:00+08:00,25.33,25.5,25.32,25.5,516202,,,,,,,,,
2025-09-08T00:00:00+08:00,25.27,25.4,25.25,25.26,980873,,,,,,,,,
2025-09-09T00:00:00+08:00,25.29,25.4,25.26,25.36,759754,,,,,,,,,
2025-09-10T00:00:00+08:00,25.33,25.4,25.27,25.39,531191,,,,,,,,,
2025-09-11T00:00:00+08:00,25.48,25.51,25.45,25.46,581559,,,,,,,,,
2025-09-12T00:00:00+08:00,25.81,25.88,25.76,25.88,1488783,,,,,,,,,
2025-09-15T00:00:00+08:00,25.71,25.83,25.66,25.8,1031666,,,,,,,,,
2025-09-16T00:00:00+08:00,26.07,26.07,25.84,25.88,1275478,,,,,,,,,
2025-09-17T00:00:00+08:00,25.9,25.9,25.68,25.75,807081,,,,,,,,,
2025-09-18T00:00:00+08:00,25.55,25.55,25.44,25.46,1529014,,,,,,,,,
2025-09-19T00:00:00+08:00,25.4,25.54,25.4,25.53,795589,,,,,,,,,
2025-09-22T00:00:00+08:00,25.65,25.7,25.61,25.65,848207,,,,,,,,,
2025-09-23T00:00:00+08:00,25.67,25.68,25.57,25.59,490981,,,,,,,,,
2025-09-24T00:00:00+08:00,25.61,25.71,25.61,25.7,422266,,,,,,,,,
2025-09-25T00:00:00+08:00,26.7,27.08,26.6,26.97,4205763,,,,,,,,,
2025-09-26T00:00:00+08:00,26.54,26.65,26.46,26.64,4739375,,,,,,,,,
2025-09-30T00:00:00+08:00,27.13,27.24,27.05,27.18,3872782,,,,,,,,,
2025-10-01T00:00:00+08:00,26.98,27.01,26.83,26.86,2033113,,,,,,,,,
2025-10-02T00:00:00+08:00,27.0,27.35,26.91,27.2,1369411,,,,,,,,,
2025-10-03T00:00:00+08:00,27.41,27.47,27.35,27.41,1476285,,,,,,,,,
2025-10-07T00:00:00+08:00,27.91,28.21,27.89,28.18,3105059,,,,,,,,,
2025-10-08T00:00:00+08:00,28.35,28.35,28.08,28.24,2654662,,,,,,,,,
2025-10-09T00:00:00+08:00,28.07,28.61,28.04,28.61,2529262,,,,,,,,,
2025-10-13T00:00:00+08:00,28.11,28.19,27.52,27.76,6156428,,,,,,,,,
2025-10-14T00:00:00+08:00,28.56,28.57,28.13,28.26,4843898,,,,,,,,,
2025-10-15T00:00:00+08:00,27.79,27.99,27.76,27.91,4281293,,,,,,,,,
2025-10-16T00:00:00+08:00,27.68,27.74,27.45,27.46,2158137,,,,,,,,,
2025-10-17T00:00:00+08:00,27.73,27.76,27.45,27.46,1495068,,,,,,,,,
2025-10-20T00:00:00+08:00,27.65,28.13,27.63,27.95,1959021,,,,,,,,,
2025-10-21T00:00:00+08:00,28.02,28.04,27.9,27.9,1214190,,,,,,,,,
2025-10-22T00:00:00+08:00,27.6,27.6,27.38,27.58,1834410,,,,,,,,,
2025-10-23T00:00:00+08:00,27.7,27.85,27.67,27.79,626200,,,,,,,,,
2025-10-27T00:00:00+08:00,28.78,28.88,28.66,28.83,3837335,,,,,,,,,
2025-10-28T00:00:00+08:00,28.61,28.71,28.38,28.42,1776636,,,,,,,,,
2025-10-29T00:00:00+08:00,28.62,28.66,28.49,28.63,932894,,,,,,,,,
2025-10-30T00:00:00+08:00,28.92,28.92,28.56,28.57,1586537,,,,,,,,,
2025-10-31T00:00:00+08:00,28.29,28.38,28.16,28.17,1453664,,,,,,,,,
2025-11-03T00:00:00+08:00,28.19,28.28,28.12,28.25,808818,,,,,,,,,
2025-11-04T00:00:00+08:00,28.06,28.11,27.78,27.78,1470225,,,,,,,,,
2025-11-05T00:00:00+08:00,27.33,27.53,27.26,27.5,1440731,,,,,,,,,
2025-11-06T00:00:00+08:00,27.66,27.85,27.64,27.84,491008,,,,,,,,,
2025-11-07T00:00:00+08:00,27.68,27.71,27.58,27.62,482366,,,,,,,,,
2025-11-10T00:00:00+08:00,27.79,28.04,27.77,28.03,443471,,,,,,,,,
2025-11-11T00:00:00+08:00,28.23,28.29,28.15,28.21,1028442,,,,,,,,,
2025-11-12T00:00:00+08:00,28.16,28.24,27.99,28.01,1178992,,,,,,,,,
2025-11-13T00:00:00+08:00,28.28,28.5,28.23,28.48,1611085,,,,,,,,,
2025-11-14T00:00:00+08:00,28.15,28.24,28.06,28.12,827161,,,,,,,,,
2025-11-17T00:00:00+08:00,28.08,28.1,27.94,27.98,459332,-4000.0,0.0,172970.0,-4000.0,0.0,172970.0,-4000.0,0.0,172970.0
2025-11-18T00:00:00+08:00,27.8,27.84,27.56,27.58,675829,-2000.0,0.0,134631.0,-2000.0,0.0,134631.0,-2000.0,0.0,134631.0
2025-11-19T00:00:00+08:00,27.65,27.79,27.65,27.71,232859,-8000.0,0.0,-14811.0,-8000.0,0.0,-14811.0,-8000.0,0.0,-14811.0
2025-11-20T00:00:00+08:00,28.06,28.11,27.96,28.02,962696,-6000.0,0.0,-178309.0,-6000.0,0.0,-178309.0,-6000.0,0.0,-178309.0
2025-11-21T00:00:00+08:00,27.74,27.74,27.48,27.58,960635,,,,,,,,,
2025-11-24T00:00:00+08:00,27.94,27.99,27.9,27.96,527573,,,,,,,,,
2025-11-25T00:00:00+08:00,27.95,28.26,27.93,28.25,1177686,,,,,,,,,
2025-11-26T00:00:00+08:00,28.1,28.2,28.05,28.2,407980,,,,,,,,,
2025-11-27T00:00:00+08:00,28.52,28.56,28.4,28.41,894291,,,,,,,,,
