datetime,open,high,low,close,volume
2025-05-02T00:00:00+08:00,16.09,16.13,15.95,16.01,2939344
2025-05-05T00:00:00+08:00,16.11,16.11,15.61,15.81,3799347
2025-05-06T00:00:00+08:00,15.73,15.85,15.64,15.74,2761983
2025-05-07T00:00:00+08:00,15.81,15.9,15.6,15.7,2226725
2025-05-08T00:00:00+08:00,15.8,15.95,15.8,15.93,3224006
2025-05-09T00:00:00+08:00,15.96,16.07,15.88,16.04,2510885
2025-05-12T00:00:00+08:00,16.15,16.34,16.14,16.32,2012327
2025-05-13T00:00:00+08:00,16.71,16.72,16.56,16.56,3099054
2025-05-14T00:00:00+08:00,16.77,16.9,16.73,16.9,3243694
2025-05-15T00:00:00+08:00,16.9,16.91,16.8,16.85,1711541
2025-05-16T00:00:00+08:00,16.85,16.88,16.78,16.82,2207328
2025-05-19T00:00:00+08:00,16.73,16.76,16.52,16.52,2893008
2025-05-20T00:00:00+08:00,16.7,16.76,16.63,16.63,1739080
2025-05-21T00:00:00+08:00,16.7,16.89,16.7,16.86,2230196
2025-05-22T00:00:00+08:00,16.73,16.77,16.67,16.74,1333298
2025-05-23T00:00:00+08:00,16.79,16.79,16.64,16.67,873670
2025-05-26T00:00:00+08:00,16.63,16.67,16.53,16.54,1299722
2025-05-27T00:00:00+08:00,16.54,16.55,16.4,16.43,1453649
2025-05-28T00:00:00+08:00,16.62,16.65,16.4,16.49,1371873
2025-05-29T00:00:00+08:00,16.66,16.66,16.49,16.58,1598168
2025-06-02T00:00:00+08:00,16.34,16.34,16.07,16.11,3744042
2025-06-03T00:00:00+08:00,16.29,16.3,16.16,16.2,2661148
2025-06-04T00:00:00+08:00,16.39,16.48,16.37,16.41,1540165
2025-06-05T00:00:00+08:00,16.43,16.53,16.43,16.45,2178752
2025-06-06T00:00:00+08:00,16.45,16.54,16.45,16.53,1768117
2025-06-09T00:00:00+08:00,16.64,16.68,16.57,16.6,1857005
2025-06-10T00:00:00+08:00,16.78,16.97,16.76,16.97,5172486
2025-06-11T00:00:00+08:00,17.1,17.14,17.04,17.12,4118370
2025-06-12T00:00:00+08:00,17.1,17.1,16.98,16.99,1703273
2025-06-13T00:00:00+08:00,16.84,16.9,16.76,16.78,2730897
2025-06-16T00:00:00+08:00,16.75,16.86,16.71,16.86,2219682
2025-06-17T00:00:00+08:00,17.0,17.06,16.91,16.94,2763660
2025-06-18T00:00:00+08:00,16.85,17.03,16.85,17.01,3526799
2025-06-19T00:00:00+08:00,17.0,17.01,16.82,16.83,1828268
2025-06-20T00:00:00+08:00,16.83,16.85,16.58,16.69,1851241
2025-06-23T00:00:00+08:00,16.48,16.69,16.4,16.69,2013207
2025-06-24T00:00:00+08:00,16.86,16.99,16.86,16.96,2637021
2025-06-25T00:00:00+08:00,17.16,17.16,17.08,17.13,3040180
2025-06-26T00:00:00+08:00,17.15,17.2,17.09,17.12,4459795
2025-06-27T00:00:00+08:00,17.14,17.2,17.12,17.17,4549141
2025-06-30T00:00:00+08:00,17.17,17.2,17.1,17.12,1676678
2025-07-01T00:00:00+08:00,17.18,17.3,17.05,17.1,6606704
2025-07-02T00:00:00+08:00,17.06,17.21,17.06,17.21,5167414
2025-07-03T00:00:00+08:00,17.36,17.5,17.36,17.44,7294408
2025-07-04T00:00:00+08:00,17.52,17.54,17.35,17.37,2543132
2025-07-07T00:00:00+08:00,17.34,17.34,17.16,17.18,2697074
2025-07-08T00:00:00+08:00,17.09,17.09,16.96,17.01,2522685
2025-07-09T00:00:00+08:00,17.01,17.4,17.01,17.4,4641980
2025-07-10T00:00:00+08:00,17.4,17.54,17.4,17.51,4441096
2025-07-11T00:00:00+08:00,17.51,17.63,17.51,17.6,2965261
2025-07-14T00:00:00+08:00,17.59,17.59,17.44,17.44,2643898
2025-07-15T00:00:00+08:00,17.42,17.61,17.42,17.55,4104248
2025-07-16T00:00:00+08:00,17.41,17.66,17.41,17.58,6828700
2025-07-17T00:00:00+08:00,17.71,17.79,17.61,17.78,6402334
2025-07-18T00:00:00+08:00,17.96,17.98,17.83,17.85,4093989
2025-07-21T00:00:00+08:00,17.83,17.87,17.79,17.82,3829995
2025-07-22T00:00:00+08:00,17.84,17.94,17.57,17.59,4538123
2025-07-23T00:00:00+08:00,17.72,17.83,17.69,17.79,4803331
2025-07-24T00:00:00+08:00,17.89,17.89,17.75,17.87,2698594
2025-07-25T00:00:00+08:00,17.85,17.86,17.76,17.79,1970273
2025-07-28T00:00:00+08:00,17.81,17.85,17.7,17.78,2638042
2025-07-29T00:00:00+08:00,17.79,17.79,17.58,17.61,3811672
2025-07-30T00:00:00+08:00,17.64,17.68,17.54,17.61,2105602
2025-07-31T00:00:00+08:00,17.56,17.68,17.51,17.67,3653862
2025-08-01T00:00:00+08:00,17.28,17.57,17.28,17.57,2605869
2025-08-04T00:00:00+08:00,17.37,17.44,17.31,17.4,2862858
2025-08-05T00:00:00+08:00,17.58,17.6,17.53,17.57,2504534
2025-08-06T00:00:00+08:00,17.43,17.46,17.34,17.35,1868340
2025-08-07T00:00:00+08:00,17.64,17.66,17.6,17.6,4211303
2025-08-08T00:00:00+08:00,17.63,17.67,17.58,17.6,2992792
2025-08-11T00:00:00+08:00,17.55,17.67,17.47,17.61,3588452
2025-08-12T00:00:00+08:00,17.66,17.73,17.64,17.69,4982813
2025-08-13T00:00:00+08:00,17.8,17.91,17.73,17.83,4786481
2025-08-14T00:00:00+08:00,17.89,17.95,17.86,17.92,3896799
2025-08-15T00:00:00+08:00,17.92,17.92,17.77,17.78,1819379
2025-08-18T00:00:00+08:00,17.7,17.78,17.7,17.74,3131004
2025-08-19T00:00:00+08:00,17.77,17.77,17.61,17.62,2469343
2025-08-20T00:00:00+08:00,17.46,17.52,17.17,17.18,3535615
2025-08-21T00:00:00+08:00,17.25,17.42,17.25,17.39,2248173
2025-08-22T00:00:00+08:00,17.39,17.39,17.26,17.29,1285393
2025-08-25T00:00:00+08:00,17.55,17.66,17.54,17.61,3347889
2025-08-26T00:00:00+08:00,17.58,17.74,17.54,17.73,2496784
2025-08-27T00:00:00+08:00,17.81,17.86,17.78,17.84,3465905
2025-08-28T00:00:00+08:00,17.8,17.86,17.75,17.78,4088722
2025-08-29T00:00:00+08:00,17.96,17.99,17.86,17.86,3642688
2025-09-01T00:00:00+08:00,17.83,17.93,17.63,17.74,3831057
2025-09-02T00:00:00+08:00,17.89,17.96,17.64,17.7,3127149
2025-09-03T00:00:00+08:00,17.72,17.92,17.72,17.85,4615580
2025-09-04T00:00:00+08:00,18.02,18.05,17.86,17.86,5237235
2025-09-05T00:00:00+08:00,18.05,18.21,18.03,18.2,9083410
2025-09-08T00:00:00+08:00,18.48,18.56,18.4,18.52,9726734
2025-09-09T00:00:00+08:00,18.54,18.68,18.5,18.64,8043683
2025-09-10T00:00:00+08:00,18.76,18.8,18.71,18.75,6246426
2025-09-11T00:00:00+08:00,18.88,18.9,18.57,18.57,5235370
2025-09-12T00:00:00+08:00,18.8,18.86,18.7,18.81,6341762
2025-09-15T00:00:00+08:00,18.95,19.0,18.81,18.95,7530186
2025-09-16T00:00:00+08:00,19.06,19.42,19.05,19.39,11492866
2025-09-17T00:00:00+08:00,19.45,19.49,19.28,19.3,5151288
2025-09-18T00:00:00+08:00,19.47,19.78,19.47,19.72,10556934
2025-09-19T00:00:00+08:00,19.9,19.9,19.69,19.73,5818395
2025-09-22T00:00:00+08:00,19.72,19.93,19.71,19.91,6283052
2025-09-23T00:00:00+08:00,20.08,20.08,19.83,19.92,6691072
2025-09-24T00:00:00+08:00,19.9,19.9,19.62,19.74,5687327
2025-09-25T00:00:00+08:00,19.7,19.77,19.58,19.6,3737223
2025-09-26T00:00:00+08:00,19.48,19.48,19.04,19.13,7221106
2025-09-30T00:00:00+08:00,19.41,19.49,19.33,19.49,3992877
2025-10-01T00:00:00+08:00,19.55,19.59,19.33,19.36,3574876
2025-10-02T00:00:00+08:00,19.7,19.71,19.57,19.63,6551319
2025-10-03T00:00:00+08:00,19.74,19.87,19.74,19.84,7380665
2025-10-07T00:00:00+08:00,20.05,20.36,20.05,20.27,10566027
2025-10-08T00:00:00+08:00,20.16,20.31,20.1,20.27,7685983
2025-10-09T00:00:00+08:00,20.55,20.58,20.44,20.44,6770584
2025-10-13T00:00:00+08:00,19.81,20.05,19.8,20.03,7125213
2025-10-14T00:00:00+08:00,20.36,20.47,19.73,19.77,5451600
2025-10-15T00:00:00+08:00,19.85,20.07,19.72,20.06,4237494
2025-10-16T00:00:00+08:00,20.31,20.64,20.31,20.63,10874677
2025-10-17T00:00:00+08:00,20.53,20.66,20.47,20.47,5333850
2025-10-20T00:00:00+08:00,20.42,20.49,20.28,20.49,5803399
2025-10-21T00:00:00+08:00,20.59,20.79,20.59,20.65,7882134
2025-10-22T00:00:00+08:00,20.49,20.54,20.39,20.47,2965039
2025-10-23T00:00:00+08:00,20.28,20.37,20.25,20.34,4251544
2025-10-27T00:00:00+08:00,20.88,20.93,20.77,20.86,9045787
2025-10-28T00:00:00+08:00,20.93,20.93,20.72,20.79,3398673
2025-10-29T00:00:00+08:00,20.93,21.19,20.93,21.12,5965667
2025-10-30T00:00:00+08:00,21.22,21.3,21.02,21.2,4939406
2025-10-31T00:00:00+08:00,21.22,21.51,21.22,21.5,7308415
2025-11-03T00:00:00+08:00,21.5,21.64,21.45,21.48,4303006
2025-11-04T00:00:00+08:00,21.61,21.64,21.08,21.08,4578552
2025-11-05T00:00:00+08:00,20.6,20.97,20.46,20.94,6127702
2025-11-06T00:00:00+08:00,21.11,21.15,20.95,21.0,2176491
2025-11-07T00:00:00+08:00,20.87,20.87,20.63,20.75,2116422
2025-11-10T00:00:00+08:00,20.82,20.94,20.75,20.93,4100313
2025-11-11T00:00:00+08:00,21.15,21.24,20.76,20.78,3032487
2025-11-12T00:00:00+08:00,20.87,21.0,20.85,20.93,2718701
2025-11-13T00:00:00+08:00,20.96,21.1,20.84,21.01,2836751
2025-11-14T00:00:00+08:00,20.64,20.74,20.52,20.56,3402536
