datetime,open,high,low,close,volume,foreign_net_buy_x,invest_trust_net_buy_x,dealer_net_buy_x,foreign_net_buy_y,invest_trust_net_buy_y,dealer_net_buy_y,foreign_net_buy,invest_trust_net_buy,dealer_net_buy
2025-05-02T00:00:00+08:00,14.53,14.54,14.17,14.23,34619745,,,,,,,,,
2025-05-05T00:00:00+08:00,14.09,14.09,13.3,13.36,39930455,,,,,,,,,
2025-05-06T00:00:00+08:00,13.21,13.72,13.18,13.66,16259261,,,,,,,,,
2025-05-07T00:00:00+08:00,13.66,13.78,13.66,13.77,8912365,,,,,,,,,
2025-05-08T00:00:00+08:00,13.82,13.85,13.78,13.82,13608761,,,,,,,,,
2025-05-09T00:00:00+08:00,13.83,13.88,13.73,13.76,19012099,,,,,,,,,
2025-05-12T00:00:00+08:00,13.76,13.82,13.75,13.81,11262059,,,,,,,,,
2025-05-13T00:00:00+08:00,14.0,14.03,13.93,14.02,13331769,,,,,,,,,
2025-05-14T00:00:00+08:00,14.09,14.09,14.0,14.02,11525602,,,,,,,,,
2025-05-15T00:00:00+08:00,13.97,13.98,13.9,13.9,17578491,,,,,,,,,
2025-05-16T00:00:00+08:00,13.89,13.89,13.83,13.86,18790499,,,,,,,,,
2025-05-19T00:00:00+08:00,13.77,13.77,13.68,13.76,11377932,,,,,,,,,
2025-05-20T00:00:00+08:00,13.78,13.81,13.77,13.77,9639126,,,,,,,,,
2025-05-21T00:00:00+08:00,13.77,13.77,13.72,13.74,6073688,,,,,,,,,
2025-05-22T00:00:00+08:00,13.66,13.66,13.58,13.61,8289980,,,,,,,,,
2025-05-23T00:00:00+08:00,13.63,13.63,13.59,13.6,8128333,,,,,,,,,
2025-05-26T00:00:00+08:00,13.6,13.6,13.5,13.55,11520988,,,,,,,,,
2025-05-27T00:00:00+08:00,13.55,13.57,13.52,13.57,6989741,,,,,,,,,
2025-05-28T00:00:00+08:00,13.63,13.66,13.61,13.66,6764588,,,,,,,,,
2025-05-29T00:00:00+08:00,13.68,13.76,13.67,13.75,9268653,,,,,,,,,
2025-06-02T00:00:00+08:00,13.7,13.72,13.63,13.66,5482029,,,,,,,,,
2025-06-03T00:00:00+08:00,13.66,13.69,13.66,13.68,7567798,,,,,,,,,
2025-06-04T00:00:00+08:00,13.7,13.73,13.7,13.71,4847377,,,,,,,,,
2025-06-05T00:00:00+08:00,13.71,13.71,13.67,13.69,5406004,,,,,,,,,
2025-06-06T00:00:00+08:00,13.69,13.7,13.67,13.69,3134616,,,,,,,,,
2025-06-09T00:00:00+08:00,13.7,13.73,13.69,13.72,4652231,,,,,,,,,
2025-06-10T00:00:00+08:00,13.71,13.73,13.69,13.73,13632177,,,,,,,,,
2025-06-11T00:00:00+08:00,13.75,13.75,13.71,13.72,6373645,,,,,,,,,
2025-06-12T00:00:00+08:00,13.72,13.73,13.61,13.65,13816359,,,,,,,,,
2025-06-13T00:00:00+08:00,13.61,13.61,13.53,13.59,11333909,,,,,,,,,
2025-06-16T00:00:00+08:00,13.57,13.59,13.54,13.56,8473152,,,,,,,,,
2025-06-17T00:00:00+08:00,13.48,13.49,13.42,13.43,4345715,,,,,,,,,
2025-06-18T00:00:00+08:00,13.46,13.49,13.44,13.45,4024176,,,,,,,,,
2025-06-19T00:00:00+08:00,13.47,13.47,13.45,13.47,4306215,,,,,,,,,
2025-06-20T00:00:00+08:00,13.5,13.5,13.42,13.44,4439602,,,,,,,,,
2025-06-23T00:00:00+08:00,13.45,13.53,13.45,13.52,5270598,,,,,,,,,
2025-06-24T00:00:00+08:00,13.55,13.55,13.5,13.51,6654605,,,,,,,,,
2025-06-25T00:00:00+08:00,13.54,13.54,13.47,13.49,5588557,,,,,,,,,
2025-06-26T00:00:00+08:00,13.49,13.49,13.38,13.4,9346076,,,,,,,,,
2025-06-27T00:00:00+08:00,13.38,13.38,13.3,13.32,12428101,,,,,,,,,
2025-06-30T00:00:00+08:00,13.38,13.45,13.36,13.42,6050188,,,,,,,,,
2025-07-01T00:00:00+08:00,13.44,13.5,13.42,13.45,4156028,,,,,,,,,
2025-07-02T00:00:00+08:00,13.45,13.45,13.37,13.38,9332733,,,,,,,,,
2025-07-03T00:00:00+08:00,13.35,13.35,13.3,13.3,8848243,,,,,,,,,
2025-07-04T00:00:00+08:00,13.31,13.31,13.28,13.29,5704834,,,,,,,,,
2025-07-07T00:00:00+08:00,13.33,13.41,13.31,13.41,5565289,,,,,,,,,
2025-07-08T00:00:00+08:00,13.38,13.4,13.38,13.39,4812781,,,,,,,,,
2025-07-09T00:00:00+08:00,13.39,13.39,13.37,13.39,3110153,,,,,,,,,
2025-07-10T00:00:00+08:00,13.41,13.46,13.41,13.46,5752313,,,,,,,,,
2025-07-11T00:00:00+08:00,13.46,13.47,13.44,13.46,3699965,,,,,,,,,
2025-07-14T00:00:00+08:00,13.45,13.46,13.43,13.45,4533064,,,,,,,,,
2025-07-15T00:00:00+08:00,13.47,13.52,13.47,13.52,4699059,,,,,,,,,
2025-07-16T00:00:00+08:00,13.44,13.44,13.42,13.44,2932399,,,,,,,,,
2025-07-17T00:00:00+08:00,13.44,13.47,13.44,13.45,4500392,,,,,,,,,
2025-07-18T00:00:00+08:00,13.46,13.48,13.43,13.48,3979761,,,,,,,,,
2025-07-21T00:00:00+08:00,13.5,13.5,13.47,13.5,2627821,,,,,,,,,
2025-07-22T00:00:00+08:00,13.5,13.53,13.49,13.52,8293928,,,,,,,,,
2025-07-23T00:00:00+08:00,13.54,13.55,13.49,13.5,3921714,,,,,,,,,
2025-07-24T00:00:00+08:00,13.5,13.5,13.47,13.49,3716130,,,,,,,,,
2025-07-25T00:00:00+08:00,13.51,13.56,13.51,13.54,11338156,,,,,,,,,
2025-07-28T00:00:00+08:00,13.57,13.6,13.55,13.58,10585338,,,,,,,,,
2025-07-29T00:00:00+08:00,13.61,13.69,13.61,13.68,7514078,,,,,,,,,
2025-07-30T00:00:00+08:00,13.69,13.71,13.68,13.69,5961719,,,,,,,,,
2025-07-31T00:00:00+08:00,13.72,13.78,13.72,13.77,16341916,,,,,,,,,
2025-08-01T00:00:00+08:00,13.78,13.84,13.77,13.79,7686204,,,,,,,,,
2025-08-04T00:00:00+08:00,13.72,13.73,13.67,13.7,6410580,,,,,,,,,
2025-08-05T00:00:00+08:00,13.77,13.79,13.75,13.77,6378365,,,,,,,,,
2025-08-06T00:00:00+08:00,13.77,13.81,13.77,13.81,4147109,,,,,,,,,
2025-08-07T00:00:00+08:00,13.81,13.81,13.73,13.76,8587169,,,,,,,,,
2025-08-08T00:00:00+08:00,13.74,13.78,13.73,13.77,6263134,,,,,,,,,
2025-08-11T00:00:00+08:00,13.78,13.8,13.77,13.78,5556075,,,,,,,,,
2025-08-12T00:00:00+08:00,13.78,13.82,13.78,13.81,3510062,,,,,,,,,
2025-08-13T00:00:00+08:00,13.84,13.84,13.8,13.84,5076730,,,,,,,,,
2025-08-14T00:00:00+08:00,13.85,13.85,13.83,13.85,7632067,,,,,,,,,
2025-08-15T00:00:00+08:00,13.86,13.88,13.86,13.88,4166262,,,,,,,,,
2025-08-18T00:00:00+08:00,13.81,13.81,13.77,13.77,7400673,,,,,,,,,
2025-08-19T00:00:00+08:00,13.79,13.81,13.78,13.8,3255903,,,,,,,,,
2025-08-20T00:00:00+08:00,13.81,13.87,13.81,13.86,5269010,,,,,,,,,
2025-08-21T00:00:00+08:00,13.87,13.98,13.87,13.96,6367228,,,,,,,,,
2025-08-22T00:00:00+08:00,13.98,14.06,13.98,14.01,9369935,,,,,,,,,
2025-08-25T00:00:00+08:00,13.99,14.02,13.98,14.01,12977419,,,,,,,,,
2025-08-26T00:00:00+08:00,14.03,14.05,14.02,14.04,5782696,,,,,,,,,
2025-08-27T00:00:00+08:00,14.07,14.1,14.07,14.09,4099996,,,,,,,,,
2025-08-28T00:00:00+08:00,14.09,14.11,14.08,14.09,3972598,,,,,,,,,
2025-08-29T00:00:00+08:00,14.1,14.13,14.09,14.1,5520201,,,,,,,,,
2025-09-01T00:00:00+08:00,14.13,14.15,14.12,14.14,8439305,,,,,,,,,
2025-09-02T00:00:00+08:00,14.15,14.16,14.13,14.15,4988173,,,,,,,,,
2025-09-03T00:00:00+08:00,14.16,14.18,14.15,14.16,5225413,,,,,,,,,
2025-09-04T00:00:00+08:00,14.16,14.17,14.15,14.16,3929380,,,,,,,,,
2025-09-05T00:00:00+08:00,14.2,14.2,14.14,14.15,7439926,,,,,,,,,
2025-09-08T00:00:00+08:00,14.13,14.14,14.1,14.13,9021629,,,,,,,,,
2025-09-09T00:00:00+08:00,14.13,14.13,14.05,14.05,8943392,,,,,,,,,
2025-09-10T00:00:00+08:00,14.04,14.06,13.99,13.99,8732238,,,,,,,,,
2025-09-11T00:00:00+08:00,14.01,14.08,14.0,14.07,7719890,,,,,,,,,
2025-09-12T00:00:00+08:00,14.07,14.07,14.04,14.05,3810593,,,,,,,,,
2025-09-15T00:00:00+08:00,14.05,14.08,14.05,14.08,8901681,,,,,,,,,
2025-09-16T00:00:00+08:00,14.02,14.02,13.91,13.94,10384854,,,,,,,,,
2025-09-17T00:00:00+08:00,13.92,13.93,13.88,13.91,13185974,,,,,,,,,
2025-09-18T00:00:00+08:00,13.93,13.95,13.91,13.94,4195103,,,,,,,,,
2025-09-19T00:00:00+08:00,13.96,13.99,13.95,13.98,9123261,,,,,,,,,
2025-09-22T00:00:00+08:00,14.01,14.06,14.01,14.03,6547258,,,,,,,,,
2025-09-23T00:00:00+08:00,14.03,14.03,13.99,14.01,4447873,,,,,,,,,
2025-09-24T00:00:00+08:00,14.04,14.08,14.02,14.07,7945645,,,,,,,,,
2025-09-25T00:00:00+08:00,14.08,14.11,14.08,14.11,6063109,,,,,,,,,
2025-09-26T00:00:00+08:00,14.14,14.15,14.12,14.13,6443434,,,,,,,,,
2025-09-30T00:00:00+08:00,14.13,14.15,14.12,14.15,6212253,,,,,,,,,
2025-10-01T00:00:00+08:00,14.14,14.15,14.12,14.12,6077860,,,,,,,,,
2025-10-02T00:00:00+08:00,14.14,14.14,14.1,14.13,10203599,,,,,,,,,
2025-10-03T00:00:00+08:00,14.14,14.14,14.1,14.12,10873728,,,,,,,,,
2025-10-07T00:00:00+08:00,14.12,14.15,14.09,14.11,11729526,,,,,,,,,
2025-10-08T00:00:00+08:00,14.16,14.21,14.16,14.18,9508127,,,,,,,,,
2025-10-09T00:00:00+08:00,14.18,14.19,14.13,14.16,4202975,,,,,,,,,
2025-10-13T00:00:00+08:00,14.1,14.16,14.1,14.14,8249649,,,,,,,,,
2025-10-14T00:00:00+08:00,14.17,14.2,14.14,14.2,4021447,,,,,,,,,
2025-10-15T00:00:00+08:00,14.2,14.25,14.15,14.16,5813178,,,,,,,,,
2025-10-16T00:00:00+08:00,14.18,14.21,14.16,14.2,5757602,,,,,,,,,
2025-10-17T00:00:00+08:00,14.21,14.22,14.19,14.2,5382861,,,,,,,,,
2025-10-20T00:00:00+08:00,14.12,14.13,14.08,14.08,10465454,,,,,,,,,
2025-10-21T00:00:00+08:00,14.09,14.12,14.08,14.12,9885560,,,,,,,,,
2025-10-22T00:00:00+08:00,14.12,14.17,14.12,14.17,5070239,,,,,,,,,
2025-10-23T00:00:00+08:00,14.19,14.2,14.14,14.2,3743379,,,,,,,,,
2025-10-27T00:00:00+08:00,14.24,14.24,14.21,14.22,9195460,,,,,,,,,
2025-10-28T00:00:00+08:00,14.22,14.23,14.17,14.17,6557441,,,,,,,,,
2025-10-29T00:00:00+08:00,14.2,14.2,14.13,14.15,6018053,,,,,,,,,
2025-10-30T00:00:00+08:00,14.16,14.18,14.16,14.17,6245963,,,,,,,,,
2025-10-31T00:00:00+08:00,14.17,14.18,14.16,14.16,2836167,,,,,,,,,
