datetime,open,high,low,close,volume,foreign_net_buy,invest_trust_net_buy,dealer_net_buy
2025-05-02T00:00:00+08:00,94.3,94.6,93.6,93.6,165501,,,
2025-05-05T00:00:00+08:00,93.3,93.3,89.0,90.0,331549,,,
2025-05-06T00:00:00+08:00,89.9,91.5,89.8,91.2,127102,,,
2025-05-07T00:00:00+08:00,91.2,92.3,91.2,92.2,138929,,,
2025-05-08T00:00:00+08:00,92.1,94.5,92.0,93.7,277299,,,
2025-05-09T00:00:00+08:00,93.5,94.4,93.0,93.9,151448,,,
2025-05-12T00:00:00+08:00,94.5,95.1,94.0,95.1,219765,,,
2025-05-13T00:00:00+08:00,95.7,96.2,94.6,95.3,255115,,,
2025-05-14T00:00:00+08:00,95.9,96.1,94.5,95.2,182814,,,
2025-05-15T00:00:00+08:00,95.0,95.2,94.2,95.0,86831,,,
2025-05-16T00:00:00+08:00,94.0,95.3,94.0,94.8,121334,,,
2025-05-19T00:00:00+08:00,95.0,95.7,93.8,94.1,171109,,,
2025-05-20T00:00:00+08:00,94.8,94.8,92.5,93.2,168163,,,
2025-05-21T00:00:00+08:00,93.0,95.3,93.0,95.3,221422,,,
2025-05-22T00:00:00+08:00,94.4,95.3,93.9,94.2,117534,,,
2025-05-23T00:00:00+08:00,95.0,95.9,94.6,95.3,128131,,,
2025-05-26T00:00:00+08:00,95.2,95.2,94.5,94.9,109688,,,
2025-05-27T00:00:00+08:00,94.9,95.7,94.6,95.0,196969,,,
2025-05-28T00:00:00+08:00,95.2,95.5,93.5,94.1,198966,,,
2025-05-29T00:00:00+08:00,94.4,94.5,93.9,94.0,134576,,,
2025-06-02T00:00:00+08:00,93.9,93.9,91.0,91.1,261375,,,
2025-06-03T00:00:00+08:00,92.4,92.4,90.0,90.7,170076,,,
2025-06-04T00:00:00+08:00,91.0,91.7,90.5,91.4,180456,,,
2025-06-05T00:00:00+08:00,91.4,91.5,90.5,91.0,93140,,,
2025-06-06T00:00:00+08:00,90.5,91.7,90.3,91.3,111842,,,
2025-06-09T00:00:00+08:00,91.3,91.3,90.3,90.7,100810,,,
2025-06-10T00:00:00+08:00,90.4,92.2,90.4,91.7,186990,,,
2025-06-11T00:00:00+08:00,92.1,92.2,91.0,91.9,152591,,,
2025-06-12T00:00:00+08:00,91.9,92.4,91.2,91.3,80342,,,
2025-06-13T00:00:00+08:00,91.3,91.3,89.4,89.5,238505,,,
2025-06-16T00:00:00+08:00,89.4,89.9,88.3,89.5,94352,,,
2025-06-17T00:00:00+08:00,89.8,89.9,88.5,89.7,90404,,,
2025-06-18T00:00:00+08:00,89.1,90.3,89.0,90.2,71370,,,
2025-06-19T00:00:00+08:00,90.0,90.0,88.0,88.2,190482,,,
2025-06-20T00:00:00+08:00,88.2,88.8,86.0,87.6,210087,,,
2025-06-23T00:00:00+08:00,86.1,86.6,85.6,86.2,198872,,,
2025-06-24T00:00:00+08:00,86.2,87.6,86.2,87.6,184259,,,
2025-06-25T00:00:00+08:00,88.3,88.3,86.3,86.6,186588,,,
2025-06-26T00:00:00+08:00,86.7,87.9,86.7,87.1,402424,,,
2025-06-27T00:00:00+08:00,87.6,88.3,87.0,87.3,164890,,,
2025-06-30T00:00:00+08:00,87.3,87.3,85.6,86.0,166482,,,
2025-07-01T00:00:00+08:00,86.8,86.8,85.0,85.1,260100,,,
2025-07-02T00:00:00+08:00,85.2,86.2,85.2,86.0,119063,,,
2025-07-03T00:00:00+08:00,85.0,86.7,84.9,85.8,251098,,,
2025-07-04T00:00:00+08:00,85.5,85.7,84.3,84.5,233151,,,
2025-07-07T00:00:00+08:00,84.5,84.5,82.9,83.7,99425,,,
2025-07-08T00:00:00+08:00,83.7,83.7,81.9,82.3,285840,,,
2025-07-09T00:00:00+08:00,82.2,83.9,82.2,82.5,101777,,,
2025-07-10T00:00:00+08:00,82.5,83.4,82.4,83.1,69839,,,
2025-07-11T00:00:00+08:00,83.1,83.9,82.8,83.5,64117,,,
2025-07-14T00:00:00+08:00,83.0,83.3,82.6,82.6,70926,,,
2025-07-15T00:00:00+08:00,83.8,84.0,82.6,83.3,101286,,,
2025-07-16T00:00:00+08:00,83.2,84.0,83.1,83.4,64085,,,
2025-07-17T00:00:00+08:00,83.2,84.3,83.1,84.1,87118,,,
2025-07-18T00:00:00+08:00,84.5,85.6,84.0,84.1,170889,,,
2025-07-21T00:00:00+08:00,84.2,85.1,84.0,84.9,72035,,,
2025-07-22T00:00:00+08:00,84.9,85.2,83.8,83.8,140564,,,
2025-07-23T00:00:00+08:00,84.2,85.8,84.2,85.8,143445,,,
2025-07-24T00:00:00+08:00,85.8,86.7,85.2,86.7,136052,,,
2025-07-25T00:00:00+08:00,85.6,85.6,83.4,84.2,323544,,,
2025-07-28T00:00:00+08:00,84.2,84.2,83.5,83.7,123465,,,
2025-07-29T00:00:00+08:00,83.7,84.8,83.1,83.9,113768,,,
2025-07-30T00:00:00+08:00,84.5,85.0,84.0,84.5,129763,,,
2025-07-31T00:00:00+08:00,83.8,84.4,83.4,83.4,141933,,,
2025-08-01T00:00:00+08:00,83.0,83.9,81.9,83.1,117262,,,
2025-08-04T00:00:00+08:00,83.5,85.2,82.9,85.1,164707,,,
2025-08-05T00:00:00+08:00,85.6,85.8,84.8,85.2,113477,,,
2025-08-06T00:00:00+08:00,85.3,85.9,85.2,85.2,123204,,,
2025-08-07T00:00:00+08:00,85.3,86.1,85.3,85.5,109870,,,
2025-08-08T00:00:00+08:00,84.7,85.5,84.7,85.3,116929,,,
2025-08-11T00:00:00+08:00,85.6,86.9,85.6,86.7,228459,,,
2025-08-12T00:00:00+08:00,86.8,87.0,86.0,86.0,174512,,,
2025-08-13T00:00:00+08:00,85.9,86.7,85.2,85.5,158340,,,
2025-08-14T00:00:00+08:00,85.5,86.0,85.5,85.8,84952,,,
2025-08-15T00:00:00+08:00,85.8,85.8,85.1,85.6,86868,,,
2025-08-18T00:00:00+08:00,85.6,86.1,85.2,85.7,80589,,,
2025-08-19T00:00:00+08:00,85.3,86.0,85.3,85.6,79476,,,
2025-08-20T00:00:00+08:00,85.4,85.4,83.8,84.0,154053,,,
2025-08-21T00:00:00+08:00,84.0,84.7,84.0,84.1,51594,,,
2025-08-22T00:00:00+08:00,83.8,84.6,83.7,84.3,85939,,,
2025-08-25T00:00:00+08:00,84.5,85.3,84.2,84.3,76215,,,
2025-08-26T00:00:00+08:00,84.3,85.2,83.9,84.7,89049,,,
2025-08-27T00:00:00+08:00,84.5,91.4,84.5,89.6,854029,,,
2025-08-28T00:00:00+08:00,90.6,92.1,90.0,90.0,897636,,,
2025-08-29T00:00:00+08:00,91.4,91.4,89.0,89.6,237549,,,
2025-09-01T00:00:00+08:00,90.4,90.8,87.6,87.7,213111,,,
2025-09-02T00:00:00+08:00,87.7,90.5,87.1,87.3,132200,,,
2025-09-03T00:00:00+08:00,87.5,89.6,87.5,89.2,102924,,,
2025-09-04T00:00:00+08:00,90.2,93.7,90.2,91.9,821577,,,
2025-09-05T00:00:00+08:00,92.5,92.9,90.5,90.5,247420,,,
2025-09-08T00:00:00+08:00,90.6,92.9,90.6,91.6,303633,,,
2025-09-09T00:00:00+08:00,90.5,90.5,88.4,89.0,436023,,,
2025-09-10T00:00:00+08:00,89.1,89.8,88.0,88.6,171108,,,
2025-09-11T00:00:00+08:00,88.8,89.7,88.2,88.2,162088,,,
2025-09-12T00:00:00+08:00,87.0,87.9,86.8,87.6,307999,,,
2025-09-15T00:00:00+08:00,87.6,88.0,87.1,87.1,103983,,,
2025-09-16T00:00:00+08:00,88.3,88.3,86.9,87.1,65714,,,
2025-09-17T00:00:00+08:00,87.1,87.2,86.0,86.1,119587,,,
2025-09-18T00:00:00+08:00,86.5,87.2,86.2,86.3,75289,,,
2025-09-19T00:00:00+08:00,86.4,87.0,85.4,85.6,158466,,,
2025-09-22T00:00:00+08:00,85.9,86.4,85.4,85.5,130440,,,
2025-09-23T00:00:00+08:00,85.5,85.8,84.8,85.1,169098,,,
2025-09-24T00:00:00+08:00,84.8,86.2,84.8,85.5,137445,,,
2025-09-25T00:00:00+08:00,85.7,87.1,85.7,86.0,124870,,,
2025-09-26T00:00:00+08:00,86.0,86.0,84.8,85.2,138219,,,
2025-09-30T00:00:00+08:00,85.2,86.5,84.9,86.1,85167,,,
2025-10-01T00:00:00+08:00,86.1,87.0,85.9,86.8,81868,,,
2025-10-02T00:00:00+08:00,86.6,86.6,85.5,85.5,84905,,,
2025-10-03T00:00:00+08:00,85.5,87.0,85.0,85.1,94535,,,
2025-10-07T00:00:00+08:00,84.8,85.1,83.9,84.8,120028,,,
2025-10-08T00:00:00+08:00,84.5,84.9,84.5,84.6,70048,,,
2025-10-09T00:00:00+08:00,85.2,86.4,85.2,86.2,178361,,,
2025-10-13T00:00:00+08:00,85.0,86.4,83.0,86.3,158275,,,
2025-10-14T00:00:00+08:00,86.7,86.7,85.0,85.0,113143,,,
2025-10-15T00:00:00+08:00,85.1,85.1,80.5,80.5,428272,,,
2025-10-16T00:00:00+08:00,82.7,84.3,82.7,83.8,163816,,,
2025-10-17T00:00:00+08:00,84.3,84.4,83.2,83.3,85250,,,
2025-10-20T00:00:00+08:00,83.3,83.3,82.1,82.9,203554,,,
2025-10-21T00:00:00+08:00,83.4,83.8,83.1,83.5,69081,,,
2025-10-22T00:00:00+08:00,83.1,84.2,83.1,84.1,85946,,,
2025-10-23T00:00:00+08:00,83.9,84.0,83.5,84.0,42122,,,
2025-10-27T00:00:00+08:00,83.1,83.5,82.4,83.5,170434,,,
2025-10-28T00:00:00+08:00,83.1,83.1,82.1,82.3,131622,,,
2025-10-29T00:00:00+08:00,82.3,82.4,81.3,81.6,233469,,,
2025-10-30T00:00:00+08:00,81.7,82.0,80.7,81.1,155688,,,
2025-10-31T00:00:00+08:00,81.1,81.1,80.1,81.0,173786,,,
