datetime,open,high,low,close,volume,foreign_net_buy_x,invest_trust_net_buy_x,dealer_net_buy_x,foreign_net_buy_y,invest_trust_net_buy_y,dealer_net_buy_y
2025-05-02T00:00:00+08:00,12.75,13.25,12.75,13.15,5876188,,,,,,
2025-05-05T00:00:00+08:00,13.35,13.7,13.05,13.15,8064779,,,,,,
2025-05-06T00:00:00+08:00,13.15,13.3,12.9,13.25,3188297,,,,,,
2025-05-07T00:00:00+08:00,13.35,13.45,13.15,13.35,2973944,,,,,,
2025-05-08T00:00:00+08:00,13.4,13.7,13.4,13.6,4650180,,,,,,
2025-05-09T00:00:00+08:00,13.65,14.0,13.3,13.45,7328951,,,,,,
2025-05-12T00:00:00+08:00,14.4,14.6,13.75,14.25,17582893,,,,,,
2025-05-13T00:00:00+08:00,14.4,14.7,14.0,14.55,9115080,,,,,,
2025-05-14T00:00:00+08:00,14.55,14.7,13.7,14.15,10575743,,,,,,
2025-05-15T00:00:00+08:00,14.05,14.05,13.5,13.55,8655365,,,,,,
2025-05-16T00:00:00+08:00,13.6,14.0,13.6,13.7,4847688,,,,,,
2025-05-19T00:00:00+08:00,13.8,14.2,13.65,14.05,4750678,,,,,,
2025-05-20T00:00:00+08:00,14.1,14.25,14.0,14.2,2856530,,,,,,
2025-05-21T00:00:00+08:00,14.2,14.25,14.0,14.2,2081566,,,,,,
2025-05-22T00:00:00+08:00,14.15,14.2,14.0,14.1,1603279,,,,,,
2025-05-23T00:00:00+08:00,14.15,14.35,13.95,14.0,2289503,,,,,,
2025-05-26T00:00:00+08:00,14.0,14.3,13.9,14.05,2588812,,,,,,
2025-05-27T00:00:00+08:00,14.15,14.15,13.6,13.75,4269955,,,,,,
2025-05-28T00:00:00+08:00,13.85,13.85,13.4,13.5,2668780,,,,,,
2025-05-29T00:00:00+08:00,13.5,13.6,13.35,13.6,2156952,,,,,,
2025-06-02T00:00:00+08:00,13.5,13.55,13.25,13.45,1532215,,,,,,
2025-06-03T00:00:00+08:00,13.5,13.6,13.3,13.3,1427295,,,,,,
2025-06-04T00:00:00+08:00,13.3,13.55,13.25,13.35,1636090,,,,,,
2025-06-05T00:00:00+08:00,13.4,13.55,13.2,13.25,1922054,,,,,,
2025-06-06T00:00:00+08:00,13.15,13.3,13.1,13.1,1937798,,,,,,
2025-06-09T00:00:00+08:00,13.1,13.15,12.85,13.1,3194109,,,,,,
2025-06-10T00:00:00+08:00,13.1,13.15,12.9,12.9,2117178,,,,,,
